SUID,interaction,name,p.adj,p.vec,reg.mat,selected,shared interaction,shared name,G1,G2
9927790,interacts with,HDAC11 (interacts with) CCDC85B,0.168425923,0.034126984,0.772058824,FALSE,interacts with,HDAC11 (interacts with) CCDC85B,CCDC85B,HDAC11
9927791,interacts with,GSK3B (interacts with) PRPF4,0.782649554,0.050063395,0.75245098,FALSE,interacts with,GSK3B (interacts with) PRPF4,PRPF4,GSK3B
9927792,interacts with,MAPK1 (interacts with) PRKAR2A,0.813252505,0.083087725,0.664835165,FALSE,interacts with,MAPK1 (interacts with) PRKAR2A,PRKAR2A,MAPK1
9927793,interacts with,FAM96B (interacts with) SF3B5,0.409830053,0.2,0.571428571,FALSE,interacts with,FAM96B (interacts with) SF3B5,SF3B5,FAM96B
9927794,interacts with,UBE2A (interacts with) XRCC6,0.698932738,0.015904562,-0.80511756,FALSE,interacts with,UBE2A (interacts with) XRCC6,XRCC6,UBE2A
9927795,interacts with,PRDX3 (interacts with) RALGDS,0.8386611,0.096180556,0.591176471,FALSE,interacts with,PRDX3 (interacts with) RALGDS,RALGDS,PRDX3
9927796,interacts with,CDC42 (interacts with) TRIM8,0.891347804,0.196626984,-0.674019608,FALSE,interacts with,CDC42 (interacts with) TRIM8,TRIM8,CDC42
9927797,interacts with,RPA3 (interacts with) HINT1,0.3486035,0.143588575,0.612637475,FALSE,interacts with,RPA3 (interacts with) HINT1,HINT1,RPA3
9927798,interacts with,RPA3 (interacts with) VDAC3,0.764862125,0.036755952,0.761904762,FALSE,interacts with,RPA3 (interacts with) VDAC3,VDAC3,RPA3
9927799,interacts with,PFDN5 (interacts with) RPL37A,0.448780165,0.235714286,0.535714286,FALSE,interacts with,PFDN5 (interacts with) RPL37A,RPL37A,PFDN5
9927800,interacts with,NARS (interacts with) TCF3,0.265737006,0.088095238,-0.587912088,FALSE,interacts with,NARS (interacts with) TCF3,TCF3,NARS
9927801,interacts with,MAP4K3 (interacts with) PTPN4,0.371077115,0.166666667,0.892857143,FALSE,interacts with,MAP4K3 (interacts with) PTPN4,PTPN4,MAP4K3
9927802,interacts with,LRRC40 (interacts with) CDC42,0.265737006,0.088095238,0.714285714,FALSE,interacts with,LRRC40 (interacts with) CDC42,CDC42,LRRC40
9927803,interacts with,LRRC40 (interacts with) YBX1,0.846554538,0.114980159,0.75,FALSE,interacts with,LRRC40 (interacts with) YBX1,YBX1,LRRC40
9927804,interacts with,LRRC40 (interacts with) ANK2,0.265737006,0.088095238,0.607142857,FALSE,interacts with,LRRC40 (interacts with) ANK2,ANK2,LRRC40
9927805,interacts with,LRRC40 (interacts with) WASF2,0.409830053,0.2,-0.571428571,FALSE,interacts with,LRRC40 (interacts with) WASF2,WASF2,LRRC40
9927806,interacts with,LRRC40 (interacts with) ELP3,0.071858659,0.002777778,0.964285714,FALSE,interacts with,LRRC40 (interacts with) ELP3,ELP3,LRRC40
9927807,interacts with,PAM (interacts with) RNF14,0.448780165,0.235714286,0.582417582,FALSE,interacts with,PAM (interacts with) RNF14,RNF14,PAM
9927808,interacts with,MCC (interacts with) AHCYL1,0.868018022,0.151140873,0.509803922,FALSE,interacts with,MCC (interacts with) AHCYL1,AHCYL1,MCC
9927809,interacts with,HSPE1 (interacts with) ATP6V1A,0.051975842,3.97E-04,1,FALSE,interacts with,HSPE1 (interacts with) ATP6V1A,ATP6V1A,HSPE1
9927810,interacts with,HSPE1 (interacts with) PSMD12,0.071858659,0.002777778,0.964285714,FALSE,interacts with,HSPE1 (interacts with) PSMD12,PSMD12,HSPE1
9927811,interacts with,HSPE1 (interacts with) GOLIM4,0.337886344,0.138888889,-0.642857143,FALSE,interacts with,HSPE1 (interacts with) GOLIM4,GOLIM4,HSPE1
9927812,interacts with,HSPE1 (interacts with) VDAC1,0.071858659,0.002777778,-0.714285714,FALSE,interacts with,HSPE1 (interacts with) VDAC1,VDAC1,HSPE1
9927813,interacts with,GOT1 (interacts with) VDAC3,0.089107644,0.006746032,0.928571429,FALSE,interacts with,GOT1 (interacts with) VDAC3,VDAC3,GOT1
