“Gene”,”P_Sp14.CEL","P_Sp20.CEL","P_Sp25.CEL","P_Sp26.CEL","P_Sp29.CEL","P_Sp31.CEL","P_Sp33.CEL","countP"
"SDHAF2",28.26943774,23.54955156,32.3362914,25.07026983,22.6146124,23.93962741,22.80168006,3
"ARPC2",62.52209623,37.29783746,50.91892755,34.62863548,42.64569668,57.6150769,42.88860991,9
"SCAF11",61.01507154,78.43817331,57.11507691,98.43842767,82.02904285,72.91507013,81.09362599,10
"NPM1",86.61921021,146.8916553,121.4993842,126.0996785,129.7150593,123.7390696,91.36180928,3
"CCSER2",122.0657895,126.2647898,211.0254339,188.4858413,137.4656465,98.66740499,179.7580725,7
"CAMK4",25.66430314,9.744200829,10.28964081,12.47404351,8.997338586,11.47403855,9.586662744,3
"MMP2",35.97271635,49.1986969,38.93901796,39.35105083,56.46981484,43.08080275,33.14822106,6
"THOC1",148.2949587,113.7963632,126.075727,174.1392416,129.8348719,109.6381472,137.9039493,9
"CDKN1A",73.71507013,108.5467606,106.3150701,118.3454044,120.7212784,126.0095142,106.7725987,8
"IL17RA",45.59747369,41.31712825,47.66041375,35.92391856,45.06864666,48.55929719,40.89296263,10
"HES1",24.86036602,49.63485486,36.89528954,26.03407297,41.13796624,35.51415185,15.55147408,9
"CD44",164.5847486,75.33808232,53.63674873,18.21151326,132.367237,87.52923236,73.47378538,9
"RAD52",48.707225,35.94248158,43.8011128,22.49821476,21.0269313,29.43137942,22.25519765,3
"B2M",12.12519503,34.84428997,16.57400619,31.79007805,25.63939254,40.71383934,22.19179904,4
"ABCD3",4.793713776,4.706235195,3.871324529,5.439562278,4.989620396,5.663245225,5.067836297,3
"SF3B1",81.41507012,65.35514503,56.7163193,57.7150769,70.29452368,95.62417107,106.4401393,4
"SOCS3",123.5807159,41.31712825,145.7327807,104.1558008,58.8150769,222.8711471,47.7825903,9
"KHDRBS1",610.7512594,207.6278749,351.3492202,149.5441075,200.8038783,144.5732937,201.9051631,5
"STMN2",1117.322719,892.8696616,470.0593086,80.55977504,81.41507012,46.99194631,1555.165272,10
"NFKBIA",131.4166985,153.7827779,152.8602242,95.16024747,124.4798029,116.377974,88.70755824,8
"CAMKK2",48.04494293,56.56067148,57.11507691,77.81507012,61.03403499,73.40534928,52.18987078,5
"KIN",33.74100451,20.12584396,14.17396827,9.160731375,7.883467577,10.22870834,13.78875862,8
"SREK1",51.32719078,34.02879369,37.43976759,16.92352022,19.11138614,15.81824175,30.04969297,9
"ANXA1",18.27104215,26.17742608,12.58098484,17.3359512,30.80926768,16.502929,13.19784903,5
"FXR2",79.90336055,76.73029461,117.1708809,87.99300657,64.94717514,67.35309044,79.66518281,8
"DST",113.3393181,95.3197029,135.5150701,50.39812583,59.47236572,64.91283308,107.8018307,10
"RIPK2",17.55428788,14.9186633,13.28666551,14.24641427,14.18510867,14.30803306,17.78844249,7
