Genename,VCPonly
PRKRA,true
TXNDC9,true
CALU,true
U2AF1,true
PYM1,true
PSMD1,true
NECAB2,true
VDR,true
TTC9C,true
MAP4K5,true
PAGE2,true
TPI1,true
PFKM,true
L3MBTL1,true
MBD1,true
OTUB1,true
RFC3,true
TDG,true
PARP10,true
USP5,true
MLH1,true
RECQL5,true
HSP90B1,true
CHAF1B,true
UBE2D3,true
FOXO3,true
CUL4B,true
UBE2A,true
SIRT1,true
KAT6A,true
LDHA,true
STN1,true
XPO7,true
SYNPO2,true
IGSF8,true
NUCB1,true
NOTCH2,true
PCF11,true
H2AFY,true
PTPRA,true
RPS3,true
SF3B1,true
YY1,true
SEC16A,true
PUM1,true
PTPN14,true
PHKB,true
BRWD1,true
DDB1,true
DCAF1,true
PJA2,true
ELOC,true
CCHCR1,true
OAT,true
CEP85,true
UCHL3,true
CNOT1,true
ACTN1,true
CKB,true
ZCCHC8,true
TCF3,true
CALD1,true
BRAP,true
USP39,true
CLNS1A,true
SF3A2,true
U2SURP,true
ITGA6,true
EIF4B,true
FLNC,true
SMNDC1,true
PLOD2,true
CSDE1,true
JMJD1C,true
EED,true
SAP18,true
ADNP,true
MIB1,true
DNMT3B,true
IQGAP1,true
WDR5,true
CHD4,true
CEP57,true
USP21,true
HELZ,true
RPS10,true
WIZ,true
RFC2,true
FEZ1,true
UBB,true
LCP2,true
ABL2,true
B2M,true
SRSF10,true
SNRP70,true
ERBB4,true
KIT,true
DDX17,true
WASF1,true
PRKDC,true
PPP3CA,true
RBPJ,true
PPP1R15A,true
