"SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","C9","Cell.type","Cell.type.x","Cell.type.y","ClosenessCentrality","ClusteringCoefficient","DEG","DEGPPI","Degree","Eccentricity","GRN","IsSingleNode","Matching.Attribute","Matching.Attribute.1","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OG_Gene","OG_Gene_GRN","OG_Gene_VCP","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","VCP"
"16561","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","PTPRJ","PTPRJ","475.0","1","0","false","false","false","0","0.65627297","false","0","PTPRJ","0","0.0","true"
"16562","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","ARHGEF5","ARHGEF5","475.0","1","0","false","false","false","0","0.65627297","false","0","ARHGEF5","0","0.0","true"
"16563","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","AP2S1","AP2S1","475.0","1","0","false","false","false","0","0.65627297","false","0","AP2S1","0","0.0","true"
"16564","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","ARHGAP9","ARHGAP9","475.0","1","0","false","false","false","0","0.65627297","false","0","ARHGAP9","0","0.0","true"
"16565","false","4.04888508","0.0","false","Neurons","","","0.24698157","0.0","false","false","1","6","false","false","","ASNS","ASNS","24.0","1","0","false","false","false","0","0.56444499","false","0","ASNS","0","0.0","true"
"16566","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","2","6","false","false","","RET","RET","475.0","2","0","false","false","false","1","0.65627297","false","0","RET","0","0.0","true"
"16567","false","3.71740995","0.0","false","NA","","","0.2690045","0.0","false","false","1","6","false","false","","BCL7B","BCL7B","283.0","1","0","false","false","false","0","0.61179858","false","0","BCL7B","0","0.0","true"
"16568","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","MICAL1","MICAL1","475.0","1","0","false","false","false","0","0.65627297","false","0","MICAL1","0","0.0","true"
"16569","false","3.38765009","0.0","false","NA","","","0.29518987","1.0","false","false","2","6","false","false","","WIPF2","WIPF2","264.5","2","0","false","false","false","0","0.65890713","false","0","WIPF2","0","0.51459144","true"
"16570","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","GAREM1","GAREM1","475.0","1","0","false","false","false","0","0.65627297","false","0","GAREM1","0","0.0","true"
