"Gene.symbol","Cell.type","SUID","name","selected","DEG","ALSOD"
"BRK1",NA,42785,"BRK1","false",FALSE,FALSE
"BRMS1",NA,44060,"BRMS1","false",FALSE,FALSE
"BRPF1",NA,41757,"BRPF1","false",FALSE,FALSE
"BRWD1",NA,38125,"BRWD1","false",FALSE,FALSE
"BTBD1",NA,42755,"BTBD1","false",FALSE,FALSE
"BTBD2",NA,42797,"BTBD2","false",FALSE,FALSE
"BTF3",NA,45426,"BTF3","false",FALSE,FALSE
"BTG1",NA,41203,"BTG1","false",TRUE,FALSE
"BTG2",NA,44612,"BTG2","false",FALSE,FALSE
"BTK",NA,39012,"BTK","false",FALSE,FALSE
"BYSL",NA,42248,"BYSL","false",FALSE,FALSE
"BZRAP1",NA,40235,"BZRAP1","false",FALSE,FALSE
"C10orf62",NA,43989,"C10orf62","false",FALSE,FALSE
"C11orf68",NA,40000,"C11orf68","false",FALSE,FALSE
"C12orf52",NA,45677,"C12orf52","false",FALSE,FALSE
"C14orf1",NA,42676,"C14orf1","false",FALSE,FALSE
"C16orf74",NA,44550,"C16orf74","false",FALSE,FALSE
"C19orf25",NA,41389,"C19orf25","false",FALSE,FALSE
"C1orf109",NA,44601,"C1orf109","false",FALSE,FALSE
"C1orf123",NA,44312,"C1orf123","false",FALSE,FALSE
"C1QBP",NA,42714,"C1QBP","false",FALSE,FALSE
"C1QTNF9",NA,43398,"C1QTNF9","false",FALSE,FALSE
"C3orf60",NA,44812,"C3orf60","false",FALSE,FALSE
"C4B",NA,42463,"C4B","false",FALSE,FALSE
"C4orf42",NA,43611,"C4orf42","false",FALSE,FALSE
"C6orf120",NA,39211,"C6orf120","false",TRUE,FALSE
"C8orf30A",NA,45335,"C8orf30A","false",FALSE,FALSE
"C8orf33",NA,41037,"C8orf33","false",FALSE,FALSE
"C8orf36",NA,38453,"C8orf36","false",FALSE,FALSE
"C9orf163",NA,43544,"C9orf163","false",FALSE,FALSE
"C9orf30",NA,44385,"C9orf30","false",FALSE,FALSE
"C9orf72",NA,41141,"C9orf72","false",FALSE,TRUE
