GeneSymbol,GeneSymbol.1,INT
RPS15A,EEF1A1,PPI
FLNC,SIRT7,PPI
UBXN7,BIRC2,PPI
HCFC1,HCFC2,PPI
SPEN,SIRT7,PPI
RPS15A,CEP57,PPI
RANBP9,EEF1A1,PPI
TPM1,PPP4R2,PPI
UBXN7,SKP1,PPI
EIF3E,SIRT7,PPI
CCT3,PPP4R2,PPI
PSMA1,PPP4R2,PPI
HSPA1L,CEP57,PPI
TXNL1,FLNC,PPI
CUL3,FLNC,PPI
PCM1,SAV1,PPI
PCNA,RAD18,PPI
GRWD1,CEP57,PPI
XRCC6,EPS8,PPI
VCP,BCLAF1,PPI
ABL1,WASF1,PPI
RPS6,EEF1A1,PPI
MST065,SAMM50,PPI
CEP57,LY6G5B,PPI
IGBP1,RBM12,PPI
RBM12,SDHAF2,PPI
PLBD2,RBM12,PPI
VDAC1,ACAD9,PPI
SERTAD1,SPEN,PPI
KRTAP10-3,CLK4,PPI
TP53,PCNA,PPI
PRKN,PCNA,PPI
PCNA,CUL2,PPI
PCNA,TNFAIP1,PPI
KCTD10,PCNA,PPI
PCNA,SHPRH,PPI
PCNA,LAMP2,PPI
HSPC142,PCNA,PPI
RNF8,PCNA,PPI
PCNA,ATF2,PPI
PCNA,ERCC8,PPI
PCNA,AID,PPI
HDAC6,PCNA,PPI
PTMA,PCNA,PPI
UBD,PCNA,PPI
CALU,PCNA,PPI
DHX15,PCNA,PPI
PCNA,H2AFV,PPI
PCNA,HK1-tb,PPI
PCNA,PDCD10,PPI
RAD23A,PCNA,PPI
PCNA,USP10,PPI
PCNA,FBXO18,PPI
PCNA,MCM4,PPI
PCNA,SUMO2,PPI
PCNA,CHFR,PPI
PCNA,USP4,PPI
GADD45A,PCNA,PPI
PCNA,MCL1,PPI
PCNA,RUVBL2,PPI
PCNA,TIMELESS,PPI
PCNA,DDB1,PPI
CUL4A,PCNA,PPI
PCNA,DMAP1,PPI
PCNA,ELP3,PPI
PCNA,DDX11,PPI
MGMT,PCNA,PPI
CHEK1,PCNA,PPI
PCNA,FANCA,PPI
PCNA,CCL2,PPI
PCNA,SETMAR,PPI
PCNA,WDR48,PPI
USP1,PCNA,PPI
PCNA,MAPK15,PPI
PCNA,MDM2,PPI
PCNA,RYK,PPI
PCNA,XRCC1,PPI
MME,PCNA,PPI
PCNA,HDAC5,PPI
ANXA2,PCNA,PPI
PCNA,GCK,PPI
GPI,PCNA,PPI
ENO1,PCNA,PPI
LDHA,PCNA,PPI
PCNA,CDK5,PPI
TOP1,PCNA,PPI
PCNA,RFC1,PPI
HUWE1,PCNA,PPI
SUMO1,PCNA,PPI
EEF1A1,TRAP1,PPI
TIPRL,PPP4R2,PPI
UBC,ADAMTS1,PPI
EIF5A,REL,PPI
SUMO3,RBM12,PPI
RAB3GAP2,RBM12,PPI
RBM12,GNE,PPI
UBE4B,RBM12,PPI
HSPH1,PLOD2,PPI
