"","ravits_control1","ravits_control2","ravits_control3","ravits_control4","ravits_control5","ravits_control6","ravits_control7","ravits_control8","ravits_sALS1","ravits_sALS2","ravits_sALS3","ravits_sALS4","ravits_sALS5","ravits_sALS6","ravits_sALS7","ravits_sALS8","ravits_sALS9","ravits_sALS10","ravits_sALS11","ravits_sALS12","ravits_sALS13"
"MCMBP",28.3730729601982,43.5493265060324,42.1741346049461,48.3040657902149,63.1000034718314,45.178821000119,37.2365496995448,42.1741346049461,83.9442254492546,92.9402212204333,75.5079831043985,63.0308554595575,184.402472092493,43.7772316683216,46.3167551560482,37.715066568393,98.2971404755435,27.5179287410262,108.870865486235,27.8566549097551,64.8908373835046
"PNISR",1103.39728178549,611.904943618659,527.176682561826,843.666902500328,1047.09426051083,1048.97008031185,1179.15740715225,527.176682561826,1148.77097566857,1347.95817350475,945.691446929479,1090.91865218465,1455.36104897613,570.766438207231,2248.34762886074,631.727365020583,837.302148388063,2139.70489156574,1418.9502801706,1496.66209560593,1279.13605205969
"ZNF148",420.867248909607,436.969513416461,484.044044897677,367.90493944328,511.201477402228,464.109706637586,538.237400202511,484.044044897677,285.755342796435,273.621210725891,462.256189248879,402.427769472559,387.245191394234,469.35842054517,374.50404883319,449.252998829388,345.816446010346,278.154198625509,435.483461944941,339.344705264289,302.823907789688
"RANBP2",1265.75431039106,1964.14843783987,1635.20621900086,1891.79896019485,2178.32185898409,1923.79634149598,1431.91459299159,1635.20621900086,871.065079148087,783.817530012885,1956.76175727862,1944.2594645602,1235.4965630197,1698.99990246929,1032.20197204908,1810.32319528287,1014.94758298242,772.73318816017,1318.24472959583,1018.03411579287,1027.43825857216
"SUN1",115.068573671915,87.0986530120649,56.5516804929959,131.016507211816,106.995658060931,99.3934062002618,125.250212625742,56.5516804929959,187.437106140116,158.58331452997,117.866119967842,123.637447247593,168.799185992359,81.4588994334592,154.830295807361,79.312566460003,107.771563653909,120.483904217466,161.491783804582,169.672352632144,156.327926423898
"CRYL1",26.7967911290761,47.9780715744425,27.7965887168963,41.025370945114,28.3492769221271,44.3573878910259,37.2365496995448,27.7965887168963,166.738530001944,112.438169728216,56.1705727971745,14.5455820291286,90.7827554916886,46.5479425334052,38.37673998644,43.8160332191625,101.850049167431,34.2114789753299,104.334579424309,22.7918085625269,14.7479175871601
"KPNA6",1505.34914872163,834.080321217231,1017.93024887393,909.175156106236,1098.30585753144,1271.57845287608,863.210924853084,1017.93024887393,654.304990145559,477.049806823762,971.474660672445,1214.55609943224,449.65833579477,930.404708495088,907.808401058546,907.380130968985,739.00500791252,873.880169478536,541.632555794021,985.112614535883,700.034488137202
"TUG1",401.951866936141,199.293528078454,201.285642432697,238.21183129421,328.302916614311,83.7861771274934,344.155989647308,201.285642432697,450.194031005249,455.602063465201,284.536180234868,244.850630823666,692.218510624126,198.937040113006,569.034420488593,201.88653280728,187.119857772721,368.145262886703,569.757529377965,291.228664965621,421.79044299278
"CBR4",138.712801138747,244.319102940623,308.637985063469,295.117990992272,231.366679396715,253.001397600666,236.959861724376,308.637985063469,207.560721830006,160.533109380748,254.148821180658,123.637447247593,167.380705437801,242.160129608311,199.823715101808,231.282099397351,206.068704129453,171.801122680461,218.648988184856,207.658700236356,176.975011045922
"TAOK3",485.494803985614,297.464043761544,220.455703616764,398.34311788643,484.68118608798,327.751810528136,489.71704756371,220.455703616764,439.844742936163,508.896456053142,355.440018028022,448.488779231467,841.158968852677,287.599787795682,690.781319755919,353.856065744629,446.482192280481,596.469698656839,618.749418846771,478.627979813064,444.403916626426
"ZFHX3",931.582562193174,431.064519991914,437.077394996714,642.510244962995,630.085541914374,535.574387128683,542.750921378214,437.077394996714,679.603249869992,978.147083473791,490.80189017859,800.007011602075,1194.36062693753,299.79091560205,870.754996933707,454.244698816381,1009.02606849594,1158.72791833835,802.922632960986,820.505108250967,865.211165113395
"ABHD2",2348.65992837196,1962.67218948373,2485.39843251421,2336.46104527738,2190.21026543531,2090.54726264187,1768.17192058142,2485.39843251421,1440.27592294783,850.760486556274,2180.52321940507,2223.04978678516,1378.76309903002,2511.92647028483,1238.64236645889,2307.82929398652,1974.23292979194,1518.69217538312,1664.81698472702,1529.58359686291,1428.58161694291
"FAM120A",149.746773956602,207.412894037205,193.617617959071,195.201361754978,316.414510163096,218.501207018757,244.858523781855,193.617617959071,271.956292037653,383.459653986403,180.482496200757,162.425665991937,417.033283039945,192.287334036805,305.690584029918,251.248899345324,226.20185338348,357.733073633341,283.971507476597,314.020473528148,372.630717702246
"MED13L",367.273666651455,69.3836727384246,46.0081468417594,194.539662223605,216.734794533682,110.893469727565,331.743806414126,46.0081468417594,328.302415969345,265.822031322778,202.582393694728,247.274894495187,768.816460570238,103.070444181112,303.043912306716,88.7413331021013,307.918753296883,304.928399562723,342.943226281641,215.255969757198,442.437527614804
"GLG1",1426.53505716552,1503.55895072522,1543.18992531735,1596.68096920258,1586.64501483518,2048.65417407812,1316.81980301118,1543.18992531735,1325.28383329131,948.25022909519,1385.84773868439,1340.61781035136,1713.52450990562,1584.29247265483,1135.42216925398,1491.40902944719,1228.12210449565,1335.73513564549,1183.06340495042,1197.83616111947,1357.79161252454
"TBCB",1393.43313871196,1019.34948991239,1063.93839571569,1131.5061986475,1015.08701237294,1140.97058853028,707.494444291351,1063.93839571569,607.158233386389,1162.07773106388,1000.9411906644,1088.49438851313,390.08215250335,1011.30946575553,778.12148662161,948.977630860595,780.455609317869,469.292244205069,805.644404598141,584.989753104856,905.522139851633
"RBM39",849.615906974824,932.250836900321,804.184066671586,934.319738298403,1009.6000555493,1206.68523725772,1015.54226453304,804.184066671586,1312.05974298081,1033.39127091251,1030.40772065637,1127.28260725747,1361.74133237533,911.009732439503,1380.23930365024,895.732830999335,1039.81794382563,1233.1006987195,1162.19648906556,947.126266931672,1121.82493112998
"NAV2",617.902477799872,141.719842189122,179.240072071021,342.098657719741,535.892783108597,363.073434219138,554.03472431747,179.240072071021,804.944627595592,843.611238770087,455.810385813137,312.730013626266,741.865330033643,223.319295725742,808.558211438442,229.063566069799,433.454860410228,658.199106373195,667.741308315577,488.75767250752,546.656145230736
"HMOX2",319.985211717791,209.62726657141,148.567974176515,260.047915829513,160.036240689427,382.787828837372,78.986620574792,148.567974176515,90.8437508286454,64.3432300756846,201.661564632479,147.880083962808,31.206572200268,195.058044901889,95.2801820352992,165.280732902664,117.245986832275,166.595028053781,171.471613140821,240.580201493339,114.050562674038
"ZFYVE26",145.017928463235,34.6918363692123,54.6346743745893,33.7466761000131,59.442032256073,9.85719730911688,84.62852204442,54.6346743745893,70.145174690473,46.1451448017536,143.649333710807,58.1823281165146,228.375369283779,59.8473546858067,92.6335103120965,92.6237664253182,55.6622361728981,65.4480467354138,116.128923185318,75.9726952084229,175.0086220343
"RBM15",23.6442274668318,41.3349539718274,25.8795825984897,34.4083756313859,35.6652193536438,15.6072290727684,37.2365496995448,25.8795825984897,56.3461239316914,4.54952131848275,49.7247693614332,60.606591788036,63.8316249550936,57.0766438207231,59.550113772062,52.6901665293726,30.7918753296883,29.0053843486493,39.0120601325677,48.1160402986678,59.9748648544513
