"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Fold.Change","C_C05.CEL","C_C08.CEL","C_C10.CEL","P_Sp14.CEL","P_Sp20.CEL","P_Sp25.CEL","P_Sp26.CEL","P_Sp29.CEL","P_Sp31.CEL","P_Sp33.CEL","countP"
"MOB1A",0.240440885,5.495694193,0.572385157,0.57886417,0.999972288,-4.666315164,1.181353626,41.22264266,52.15507244,30.10760335,122.5325526,49.75749981,63.34692647,28.6889728,38.72847892,26.09288026,48.24767426,7
"TARDBP",0.27163424,6.106777352,0.568916085,0.581133439,0.999972288,-4.666699751,1.207174503,75.59927361,69.23181477,42.11424576,146.6538533,100.0806072,148.707983,30.96938663,52.3783845,46.59349637,66.46477443,8
"CST3",0.157474907,5.979795685,0.562613664,0.585268284,0.999972288,-4.667393098,1.115333304,55.81117411,63.62815536,56.28249062,105.0090911,59.3815707,92.894044,50.04657949,77.64713472,55.05544962,40.46395169,6
"RAP1GDS1",-0.543541879,7.992267286,-0.554638483,0.590522925,0.999972288,-4.668260543,-1.457546468,333.6894986,617.9784371,176.6150701,754.2984226,371.3043753,763.8150701,38.73444766,109.9925421,59.42890171,580.8425791,9
"PFDN1",0.191051776,6.447998263,0.553276469,0.591422802,0.999972288,-4.668407575,1.141595677,58.37461431,131.9866681,65.40225396,145.1150701,104.5150701,129.9421934,84.63151877,53.94567003,62.76237584,90.41330804,3
"PHTF2",-0.1130099,3.921602883,-0.54953135,0.593900901,0.999972288,-4.66881019,-1.081482185,11.8083687,18.83177972,18.44674324,11.90958426,14.7553121,20.30135273,12.89161337,13.27124861,14.8872627,17.1315291,7
"SKIV2L2",-0.400276254,6.892608906,-0.537141184,0.602137886,0.999972288,-4.670124599,-1.319760601,189.9211946,127.7887205,123.771304,285.3769726,120.5156463,198.7186569,18.09701984,79.50343516,66.8925165,283.8329921,10
"RANBP2",-0.128085767,5.967497836,-0.536316578,0.602688172,0.999972288,-4.670211115,-1.092842706,57.42402961,71.80849927,71.59605759,101.6493801,53.84908177,58.79236587,40.67732359,65.1686978,54.85778287,66.61410745,6
"TIA1",-0.112536015,5.946429237,-0.519644997,0.613868894,0.999972288,-4.671934395,-1.081127006,66.54304356,53.14924377,78.10917588,76.45063469,54.96011133,80.5285069,57.75881117,42.782728,50.597189,68.05223824,7
"TBCB",0.429393684,6.570417549,0.512997099,0.61835634,0.999972288,-4.672607748,1.346667499,57.7150769,261.4150701,30.45170432,220.2150701,204.7676665,395.4472323,39.31850159,49.22188045,46.31545899,81.84988413,3
"SUN1",0.406813124,6.062617209,0.509486915,0.620732384,0.999972288,-4.672960095,1.325754021,82.02558433,45.62314679,44.13489784,224.328135,129.7013343,218.0911827,15.0021227,80.37359349,24.71753641,56.96945265,10
"RPS29",0.20802069,9.336329023,0.499648858,0.627415891,0.999972288,-4.673935821,1.15510235,499.7144328,723.0395365,552.2787539,1283.238874,838.0539894,790.615775,234.1150701,846.0300392,659.7884113,574.5710783,10
"OSBPL3",0.140862329,3.554762389,0.490682316,0.633537998,0.999972288,-4.6748099,1.102563944,10.05175423,12.00048389,10.95927309,8.806989159,10.39564377,25.42102035,10.1496685,11.68256211,10.05175423,13.69541037,6
"PLEKHB1",0.277920452,4.875850512,0.490343397,0.633769971,0.999972288,-4.674842653,1.212445965,17.74802763,59.14343754,16.09103917,33.79253911,46.24495295,83.97859002,17.81713325,42.22402165,17.88925792,15.96203795,6
