"SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","Cell.type","Cell.type.x","Cell.type.y","ClosenessCentrality","ClusteringCoefficient","DEG","Degree","Eccentricity","IsSingleNode","Matching.Attribute","Matching.Attribute.1","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OG_Gene","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"128684","false","3.97720878","0.0","NA",,,"0.25143261","0.0","false","2","6","false",,"TEAD3","TEAD3","85.0","2","0",,"1","0.70227912","false","0","TEAD3","0","0.0"
"128685","false","4.01828925","0.0","NA",,,"0.24886212","0.0","false","1","6","false",,"FBLN5","FBLN5","102.0","1","0",,"0","0.69817107","false","0","FBLN5","0","0.0"
"128686","false","4.11395611","0.0","NA",,,"0.24307503","0.0","false","1","8","false",,"GTF2A1","GTF2A1","34.0","1","0",,"0","0.68860439","false","0","GTF2A1","0","0.0"
"128687","false","3.92346652","0.0","NA",,,"0.25487665","0.0","false","1","8","false",,"APPL2","APPL2","186.0","1","0",,"0","0.70765335","false","0","APPL2","0","0.0"
"128688","false","3.87619584","0.0","NA",,,"0.2579849","0.0","false","1","6","false",,"MYO1C","MYO1C","94.0","1","0",,"0","0.71238042","false","0","MYO1C","0","0.0"
"128689","false","3.85706246","1.9E-5","NA",,,"0.25926466","0.0","false","2","6","false",,"SFRS5","SFRS5","63.5","2","0",,"0","0.71429375","false","0","SFRS5","5958","0.52083333"
"128690","false","3.87619584","0.0","NA",,,"0.2579849","0.0","false","1","6","false",,"NOP2","NOP2","94.0","1","0","false","0","0.71238042","false","0","NOP2","0","0.0"
"128691","true","3.62155318","0.00117071","NA",,,"0.27612462","0.33333333","false","3","6","false",,"LMNB1","LMNB1","136.66666667","3","0",,"0","0.73784468","false","0","LMNB1","70414","0.3434089"
"128692","false","3.87619584","0.0","NA",,,"0.2579849","0.0","false","1","6","false",,"APTX","APTX","94.0","1","0",,"0","0.71238042","false","0","APTX","0","0.0"
"128693","false","4.00759707","1.003E-5","NA",,,"0.24952608","0.0","false","2","6","false",,"WAS","WAS","34.0","2","0","false","0","0.69924029","false","0","WAS","1286","0.52380952"
"128694","false","4.01828925","0.0","NA",,,"0.24886212","0.0","false","1","6","false",,"ATAD3A","ATAD3A","102.0","1","0",,"0","0.69817107","false","0","ATAD3A","0","0.0"
"128695","false","3.83145751","1.387E-5","NA",,,"0.26099728","0.0","false","2","6","false",,"SRPK3","SRPK3","70.5","2","0",,"0","0.71685425","false","0","SRPK3","5382","0.54296875"
"128696","false","3.87619584","0.0","Endothelial",,,"0.2579849","0.0","false","1","6","false",,"ERG","ERG","94.0","1","0",,"0","0.71238042","false","0","ERG","0","0.0"
"128697","false","3.21384356","7.2809E-4","NA",,,"0.31115391","0.0","true","9","7","false",,"SUN1","SUN1","29.71428571","9","0",,"2","0.77861564","false","0","SUN1","143876","0.17724868"
"128698","false","3.95554305","3.1051E-4","NA",,,"0.25280979","0.16666667","false","4","7","false",,"MOB1A","MOB1A","23.0","4","0",,"0","0.70444569","false","0","MOB1A","140826","0.27108434"
"128699","false","4.05824423","0.0","NA",,,"0.24641198","0.0","false","1","6","false",,"S100A11","S100A11","57.0","1","0",,"0","0.69417558","false","0","S100A11","0","0.0"
"128700","false","3.16544738","5.5234E-4","NA",,,"0.31591111","0.03571429","true","9","6","false",,"ASXL2","ASXL2","31.625","9","0",,"1","0.78345526","false","0","ASXL2","190884","0.15672589"
"128701","false","4.13899831","0.0","NA",,,"0.24160435","0.0","false","1","8","false",,"ITGB1BP2","ITGB1BP2","35.0","1","0",,"0","0.68610017","false","0","ITGB1BP2","0","0.0"
"128702","false","3.83427124","5.6884E-4","NA",,,"0.26080575","0.0","false","3","6","false",,"C1QBP","C1QBP","92.66666667","3","0","false","0","0.71657288","false","0","C1QBP","41338","0.33577534"
"128703","false","3.8598762","2.3921E-4","Microglia",,,"0.25907567","0.16666667","false","4","7","false",,"DOCK8","DOCK8","37.75","4","0",,"0","0.71401238","false","0","DOCK8","17662","0.26607143"
"128704","false","4.10523354","0.0","NA",,,"0.2435915","0.0","false","1","7","false",,"CORO1C","CORO1C","17.0","1","0",,"0","0.68947665","false","0","CORO1C","0","0.0"
"128705","false","4.10523354","0.0","NA",,,"0.2435915","0.0","false","1","7","false",,"SUGT1","SUGT1","17.0","1","0",,"0","0.68947665","false","0","SUGT1","0","0.0"
"128706","false","4.11395611","0.0","NA",,,"0.24307503","0.0","false","1","8","false",,"POLR1C","POLR1C","34.0","1","0","false","0","0.68860439","false","0","POLR1C","0","0.0"
"128707","false","3.12689927","0.01377928","NA",,,"0.31980563","0.0","true","35","7","false",,"CENPU","CENPU","8.21875","35","0",,"3","0.78731007","false","0","CENPU","1505678","0.0427145"
"128708","false","4.1266179","0.0","NA",,,"0.2423292","0.0","false","1","8","false",,"CENPL","CENPL","32.0","1","0",,"0","0.68733821","false","0","CENPL","0","0.0"
"128709","false","4.09848059","5.6856E-4","NA",,,"0.24399286","0.0","false","3","8","false",,"PLG","PLG","32.5","3","0","false","1","0.69015194","false","0","PLG","206366","0.5"
"128710","false","4.12296005","0.0","NA",,,"0.24254419","0.0","false","1","8","false",,"ALG12","ALG12","47.0","1","0",,"0","0.687704","false","0","ALG12","0","0.0"
"128711","false","4.12296005","0.0","NA",,,"0.24254419","0.0","false","1","8","false",,"A1BG","A1BG","47.0","1","0",,"0","0.687704","false","0","A1BG","0","0.0"
"128712","false","4.01660101","2.254E-5","NA",,,"0.24896673","0.0","false","2","6","false",,"PRDX3","PRDX3","42.0","2","0",,"0","0.6983399","false","0","PRDX3","9382","0.52564103"
"128713","false","3.93809792","6.887E-5","NA",,,"0.25392969","0.0","false","2","6","false",,"TLN1","TLN1","54.5","2","0",,"0","0.70619021","false","0","TLN1","8578","0.50471698"
"128714","false","4.01266179","0.0","NA",,,"0.24921114","0.0","false","1","7","false",,"ACTN3","ACTN3","213.0","1","0",,"0","0.69873382","false","0","ACTN3","0","0.0"
"128715","false","4.07400113","5.046E-5","NA",,,"0.24545894","0.0","false","2","8","false",,"EIF4G1","EIF4G1","29.5","2","0",,"0","0.69259989","false","0","EIF4G1","5334","0.50892857"
"128716","false","4.1266179","0.0","NA",,,"0.2423292","0.0","false","2","8","false",,"SPTBN4","SPTBN4","32.0","2","0",,"1","0.68733821","false","0","SPTBN4","0","0.0"
"128717","false","4.1266179","0.0","NA",,,"0.2423292","0.0","false","1","8","false",,"CENPH","CENPH","32.0","1","0","false","0","0.68733821","false","0","CENPH","0","0.0"
"128718","false","4.11733258","2.648E-5","NA",,,"0.24287569","0.0","false","2","8","false",,"CENPT","CENPT","23.0","2","0",,"0","0.68826674","false","0","CENPT","2764","0.51162791"
"128719","false","4.1266179","0.0","NA",,,"0.2423292","0.0","false","1","8","false",,"CENPQ","CENPQ","32.0","1","0",,"0","0.68733821","false","0","CENPQ","0","0.0"
"128720","false","4.1266179","0.0","NA",,,"0.2423292","0.0","false","1","8","false",,"CENPP","CENPP","32.0","1","0",,"0","0.68733821","false","0","CENPP","0","0.0"
"128721","false","4.03939223","0.0","NA",,,"0.24756199","0.0","false","1","8","false",,"PLA2G2A","PLA2G2A","53.0","1","0","false","0","0.69606078","false","0","PLA2G2A","0","0.0"
"128722","false","3.89870568","1.4412E-4","NA",,,"0.25649538","0.0","false","3","6","false",,"TRIM55","TRIM55","71.33333333","3","0","true","0","0.71012943","false","0","TRIM55","47006","0.35166667"
"128723","false","4.11873945","0.0","NA",,,"0.24279273","0.0","false","1","6","false",,"SEC24B","SEC24B","47.0","1","0",,"0","0.68812606","false","0","SEC24B","0","0.0"
"128724","false","4.11873945","0.0","NA",,,"0.24279273","0.0","false","1","6","false",,"SEPHS2","SEPHS2","47.0","1","0",,"0","0.68812606","false","0","SEPHS2","0","0.0"
"128725","false","3.92599887","3.808E-5","NA",,,"0.25471225","0.0","false","2","6","false",,"RAB9A","RAB9A","44.5","2","0",,"0","0.70740011","false","0","RAB9A","8168","0.51176471"
"128726","false","4.11873945","0.0","NA",,,"0.24279273","0.0","false","1","6","false",,"TLE3","TLE3","47.0","1","0",,"0","0.68812606","false","0","TLE3","0","0.0"
