"SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","Cell.type","ClosenessCentrality","ClusteringCoefficient","DEG","Degree","Eccentricity","IsSingleNode","Matching.Attribute","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"10459","false","3.55","5.239E-5","NA","0.28169014","0.0","false","4","4","false","CHD3","CHD3","69.33333333","4","0","1","0.49","false","0","CHD3","7830","0.35776614"
"10460","false","3.79055556","0.0","NA","0.26381357","0.0","false","1","5","false","IQGAP1","IQGAP1","128.0","1","0","0","0.44188889","false","0","IQGAP1","0","0.0"
"10461","false","3.43527778","4.986E-5","NA","0.29109728","0.16666667","false","4","4","false","FAM9B","FAM9B","58.5","4","0","0","0.51294444","false","0","FAM9B","6274","0.27358491"
"10462","false","3.88416667","0.0","NA","0.25745548","0.0","false","1","5","false","SPACIA1","SPACIA1","55.0","1","0","0","0.42316667","false","0","SPACIA1","0","0.0"
"10463","false","3.81611111","0.0","NA","0.26204688","0.0","false","1","5","false","DNMT3B","DNMT3B","31.0","1","0","0","0.43677778","false","0","DNMT3B","0","0.0"
"10464","false","3.60972222","5.26E-6","NA","0.27702963","0.0","false","2","4","false","MIB1","MIB1","36.5","2","0","0","0.47805556","false","0","MIB1","1298","0.50714286"
"10465","false","3.27722222","4.0855E-4","NA","0.30513646","0.0","false","5","4","false","ARRB2","ARRB2","129.8","5","0","0","0.54455556","false","0","ARRB2","95532","0.22322357"
"10466","false","3.87972222","0.0","NA","0.25775041","0.0","false","1","5","false","MAPKBP1","MAPKBP1","65.0","1","0","0","0.42405556","false","0","MAPKBP1","0","0.0"
"10467","false","3.24388889","8.953E-5","NA","0.30827196","0.0","false","5","4","false","GRK5","GRK5","122.6","5","0","0","0.55122222","false","0","GRK5","42176","0.24079208"
"10468","false","3.78972222","0.0","NA","0.26387158","0.0","false","1","5","false","NF2","NF2","38.0","1","0","0","0.44205556","false","0","NF2","0","0.0"
"10469","false","3.12611111","5.2369E-4","NA","0.31988626","0.06666667","false","6","4","false","SEPT2","SEPT2","129.33333333","6","0","0","0.57477778","false","0","SEPT2","121540","0.18460067"
"10470","false","3.90138889","0.0","NA","0.25631897","0.0","false","1","5","false","UBLCP1","UBLCP1","38.0","1","0","0","0.41972222","false","0","UBLCP1","0","0.0"
"10471","false","3.82277778","0.0","NA","0.26158989","0.0","false","1","5","false","EBNA1BP2","EBNA1BP2","49.0","1","0","0","0.43544444","false","0","EBNA1BP2","0","0.0"
"10472","false","3.21277778","1.8144E-4","NA","0.31125713","0.04761905","false","8","4","false","SAP18","SAP18","74.28571429","8","0","1","0.55744444","false","0","SAP18","41308","0.18076518"
