"","SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","Cell.type","Cell.type.x","Cell.type.y","ClosenessCentrality","ClusteringCoefficient","DEG","Degree","Eccentricity","IsSingleNode","Matching.Attribute","Matching.Attribute.1","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared.name","Stress","TopologicalCoefficient","C9","VCP"
"3890",130547,"false",3.93894204,0,NA,"","",0.25387528,0,"false",1,7,"false","","DNPEP","DNPEP",78,1,0,0,0.7061058,"false",0,"DNPEP",0,0,FALSE,FALSE
"3891",130548,"false",5.08384918,0,"Neurons","","",0.19670135,0,"false",1,8,"false","","SMARCD3","SMARCD3",17,1,0,0,0.59161508,"false",0,"SMARCD3",0,0,FALSE,FALSE
"3892",130549,"false",5.08384918,0,"Endothelial","","",0.19670135,0,"false",1,8,"false","","ETS1","ETS1",17,1,0,0,0.59161508,"false",0,"ETS1",0,0,FALSE,FALSE
"3893",130550,"false",4.01266179,0,NA,"","",0.24921114,0,"false",1,7,"false","","DDEFL1","DDEFL1",213,1,0,0,0.69873382,"false",0,"DDEFL1",0,0,FALSE,FALSE
"3894",130551,"false",5.22931908,0,NA,"","",0.19122949,0,"false",1,8,"false","","SEPT3","SEPT3",13,1,0,0,0.57706809,"false",0,"SEPT3",0,0,FALSE,FALSE
"3895",130552,"false",3.93894204,0,NA,"","",0.25387528,0,"false",1,7,"false","","TSC22D4","TSC22D4",78,1,0,0,0.7061058,"false",0,"TSC22D4",0,0,FALSE,FALSE
"3896",130553,"false",4.05824423,0,NA,"","",0.24641198,0,"false",1,6,"false","","KLHL23","KLHL23",57,1,0,0,0.69417558,"false",0,"KLHL23",0,0,FALSE,FALSE
"3897",130554,"false",4.13787282,0,NA,"","",0.24167007,0,"false",1,8,"false","","USP13","USP13",28,1,0,0,0.68621272,"false",0,"USP13",0,0,FALSE,FALSE
"3898",130555,"false",4.12267867,0,NA,"","",0.24256074,0,"false",1,6,"false","","TNKS2","TNKS2",30,1,0,0,0.68773213,"false",0,"TNKS2",0,0,FALSE,FALSE
"3899",130556,"false",4.0585256,0,NA,"","",0.2463949,0,"false",1,6,"false","","DDR2","DDR2",48,1,0,0,0.69414744,"false",0,"DDR2",0,0,FALSE,FALSE
"3900",130557,"false",3.98564997,0,NA,"","",0.25090011,0,"false",1,8,"false","","FBXO11","FBXO11",42,1,0,0,0.701435,"false",0,"FBXO11",0,0,FALSE,FALSE
"3901",130558,"false",4.01828925,0,NA,"","",0.24886212,0,"false",1,6,"false","","CTAGE5","CTAGE5",102,1,0,0,0.69817107,"false",0,"CTAGE5",0,0,FALSE,FALSE
"3902",130559,"false",4.0073157,0,NA,"","",0.2495436,0,"false",1,6,"false","","ITGB2","ITGB2",62,1,0,0,0.69926843,"false",0,"ITGB2",0,0,FALSE,FALSE
"3903",130560,"false",5.15419246,0,NA,"","",0.19401681,0,"false",1,8,"false","","RABGGTB","RABGGTB",23,1,0,0,0.58458075,"false",0,"RABGGTB",0,0,FALSE,FALSE
"3904",130561,"false",5.15419246,0,NA,"","",0.19401681,0,"false",1,8,"false","","FN1","FN1",23,1,0,0,0.58458075,"false",0,"FN1",0,0,FALSE,FALSE
"3905",130562,"false",3.97861564,0,NA,"","",0.25134371,0,"false",1,6,"false","","SPATA8","SPATA8",120,1,0,0,0.70213844,"false",0,"SPATA8",0,0,FALSE,FALSE
"3906",130563,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","FAM82C","FAM82C",NA,NA,NA,NA,NA,"false",NA,"FAM82C",NA,NA,FALSE,FALSE
"3907",130564,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","CHP","CHP",NA,NA,NA,NA,NA,"false",NA,"CHP",NA,NA,FALSE,FALSE
"3908",130565,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","H3F3A","H3F3A",NA,NA,NA,NA,NA,"false",NA,"H3F3A",NA,NA,FALSE,FALSE
"3909",130566,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","ITGA2","ITGA2",NA,NA,NA,NA,NA,"false",NA,"ITGA2",NA,NA,FALSE,FALSE
"3910",130567,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","HIVEP2","HIVEP2",NA,NA,NA,NA,NA,"false",NA,"HIVEP2",NA,NA,FALSE,FALSE
"3911",130568,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","CAMSAP1","CAMSAP1",NA,NA,NA,NA,NA,"false",NA,"CAMSAP1",NA,NA,FALSE,FALSE
"3912",130569,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","FRZB","FRZB",NA,NA,NA,NA,NA,"false",NA,"FRZB",NA,NA,FALSE,FALSE
"3913",130570,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","MYOG","MYOG",NA,NA,NA,NA,NA,"false",NA,"MYOG",NA,NA,FALSE,FALSE
"3914",130571,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","TNNT3","TNNT3",NA,NA,NA,NA,NA,"false",NA,"TNNT3",NA,NA,FALSE,FALSE
"3915",130572,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","SNX9","SNX9",NA,NA,NA,NA,NA,"false",NA,"SNX9",NA,NA,FALSE,FALSE
"3916",130573,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","ABCA12","ABCA12",NA,NA,NA,NA,NA,"false",NA,"ABCA12",NA,NA,FALSE,FALSE
"3917",130574,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","MAD1L1","MAD1L1",NA,NA,NA,NA,NA,"false",NA,"MAD1L1",NA,NA,FALSE,FALSE
"3918",130575,"false",NA,NA,"Neurons","","",NA,NA,"false",NA,NA,"","","LIN7B","LIN7B",NA,NA,NA,NA,NA,"false",NA,"LIN7B",NA,NA,FALSE,FALSE
"3919",130576,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","ARHGEF12","ARHGEF12",NA,NA,NA,NA,NA,"false",NA,"ARHGEF12",NA,NA,FALSE,FALSE
"3920",130577,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","STX12","STX12",NA,NA,NA,NA,NA,"false",NA,"STX12",NA,NA,FALSE,FALSE
"3921",130578,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","LY6D","LY6D",NA,NA,NA,NA,NA,"false",NA,"LY6D",NA,NA,FALSE,FALSE
"3922",130579,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","NUDT15","NUDT15",NA,NA,NA,NA,NA,"false",NA,"NUDT15",NA,NA,FALSE,TRUE
"3923",130580,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","SRD5A3","SRD5A3",NA,NA,NA,NA,NA,"false",NA,"SRD5A3",NA,NA,FALSE,FALSE
