Gene.Symbol,C_C05.CEL,C_C08.CEL,C_C10.CEL,P_Sp14.CEL,P_Sp20.CEL,P_Sp25.CEL,P_Sp26.CEL,P_Sp29.CEL,P_Sp31.CEL,P_Sp33.CEL
MIR3185 ,54.2669488130102,60.1150732674522,62.5567524301857,29.5390976849879,54.6118983403495,35.86582289194,83.314212017104,68.5150701685918,73.4309535264938,54.8163969877275
ENTHD1,5.40695626734119,4.67363872214029,5.23065459861264,4.77263264823677,5.97536728325358,3.94212241132144,6.37776638630132,5.80604401360018,6.89313788794318,4.52077501323008
CCDC53,21.1483611194622,39.0756809892647,15.6775707538819,23.4950916610967,32.3916655550663,32.6631818692088,16.814401099429,15.5121548327084,15.0821774069933,20.6381313695354
RYR2,106.855452443813,98.6126435625121,97.5598635759036,353.268996285704,97.4545328929566,229.417953074619,18.809653207495,28.5836908342292,23.6806934986112,174.183017288584
C12orf77,5.77091114465913,4.3925434679706,7.00312029999052,4.75468592545696,5.81944925532092,4.48680020889016,4.88045980263436,6.72642469780355,6.56295932989647,4.46281913575958
SLC6A3,32.5476736307211,21.2983419623777,30.8678942122618,21.5442511443125,20.5666204817193,23.9935717220402,45.9207168386913,37.9211884961198,37.1059175794108,32.1350014200957
LOXL1-AS1,3.9099287377837,3.7628566139105,4.8562445701945,3.788335896957,4.13782652178532,4.15069570774152,4.7274048646243,4.39088461475753,6.46709222226069,3.54687979302815
TAF1L,60.66128167693,47.8154564953149,60.3098948360251,38.3266426359401,48.7152811932113,30.9083453563011,85.1200640267858,65.8114953150895,57.0953068680287,53.0924491186742
PLEKHF1,69.9663494467484,63.3150707468006,60.853451079523,58.350501115373,65.5150703900428,57.0133483517909,78.7013547930087,80.2898667006379,70.9688974156965,64.7177962168014
WRAP53,36.9905480079848,31.0779235533889,31.0151906195807,32.2786915424469,28.5645349909407,29.0353905375668,44.4980483164926,34.4516304918465,46.1124490060239,31.9663266909837
ANKRD12,34.3287841823637,26.1579177837122,42.0097207659941,41.0130496512886,28.5338113776699,44.3827472295809,41.1525754320162,33.5748919656136,28.7207740618383,34.4287841823555
LOC100130428,19.5536745378369,16.0291800253248,24.2226918170549,16.2609213561649,21.1163444012513,14.0327568493009,31.4750920575374,21.3721680573462,24.0359307270308,23.5994610658315
WBP2NL,3.99363940651278,4.30164193600034,4.54576818819358,4.0171806249892,3.19963745494917,5.25891580485284,4.27668398654099,3.89498717208978,4.16970039283918,4.07629738797851
MGAT4C,4.82923840122112,4.76041564575922,4.37334755036305,10.8170742592152,4.62855866366747,4.92902505675399,4.61788399145275,4.04477653999648,3.89304196123749,4.59473101294865
NBEA,57.06715660573,82.3684496066885,36.1807182571922,205.609812367068,42.8580974185669,104.836241383088,17.3209772195396,20.0249463177166,14.9935138815001,70.6364504226087
EXOC1,79.8758454739647,123.76233533997,57.5820418525016,247.737456066854,72.1689500019937,285.501401703756,6.8729207214645,36.0351925342361,17.0980719678857,146.964291977492
LINC01142,37.2125366689639,35.5956288296718,46.7866608128139,23.8648338801876,37.7292405080564,27.5022495373836,82.6438258191211,53.3063154537247,66.0587474759118,43.2045864900097
RTKN,30.9407189918297,25.9107571364659,23.9845178774813,22.7363502059128,23.1700879095676,26.6577955036007,39.8968821866785,28.856716190471,34.133025845581,26.4367417398813
OAS3,24.605500069204,28.1940046193123,30.2266360014587,20.6351271462015,23.6313727083994,13.5365428576153,40.3184550240589,28.7864377116247,36.0238236631526,24.3270902544318
CCRL2,14.7752621115099,14.8336737679788,18.5012374609756,14.9973126698139,12.3613190018466,10.4634882479942,19.2192261559253,16.2771556925461,20.6606979361855,13.5884735744084
AIFM3,34.6539507603685,51.19299173405,37.2206811566832,49.3292393706025,53.7737553372212,81.8754583341847,32.4468397085443,32.7906573388807,34.0165161711385,39.9718837473915
PRPF3,10.7653961799979,15.9805155440651,9.41047405153491,23.1079210543688,11.7400803889426,21.3246873248844,8.89927744272717,11.4434837438922,8.98834670367902,11.2505152815518
PYCRL,37.0628815623386,44.9640952025705,41.3556451316895,31.0380191666425,44.3934921271631,42.7793618169341,51.2940749116416,50.0979100525425,42.8254013146243,41.9257367359433
TTC9B,23.8539878882688,21.2219214188519,21.2535565533292,21.8924705449554,20.6290225758317,17.8587882831428,30.2169113407307,29.7811220713317,23.4704523741153,21.5327729303574
GGH,114.27880568595,107.447399368854,55.3865742669866,363.837558422194,74.8977765698048,142.401800618293,13.6908540489519,22.7853887863068,30.3173465615047,175.715070123755
LINC00657,251.646483494938,204.615070123755,108.515070123755,424.004446948088,347.357081373331,374.832105519395,61.8855970049954,154.015070123755,125.495004147481,261.896302266774
UBE2D2,42.9762269502239,132.615643499823,44.7610413358012,184.6682670827,57.639807286239,160.094713514894,12.8771382849786,26.0319780676549,16.6466180982029,79.9196421753211
SEC14L1P1,22.935185149598,37.1207074287005,35.2150237120083,37.8289552297859,20.104359258579,30.9763699949402,31.7268213292295,32.33629140353,50.7337832674279,38.3934083963015
ATAD1,8.18523002743066,16.933196867275,10.1540574110903,25.2254358481807,10.5112321135754,24.1558030699818,10.297184964486,9.91318521147042,7.88890783995396,9.58453879691502
EMC4,27.6070364508112,40.3284084263023,17.4706199283814,105.710444746644,29.9744298613515,76.5597838207846,13.9999286039673,18.2423985820873,12.7554255112879,48.0152815220034
C8orf58,37.9864589805957,39.2552189229343,51.2894430419007,31.6630693247518,28.1019035046132,31.7027126064766,56.1282946935154,48.4807855313096,47.5030731084984,42.6333211320332
LOC100287387,5.03055527165305,4.49158576889787,5.04252973858576,4.24919169296804,6.02683103140227,4.47372023622271,5.11261928451733,6.4016486914514,5.30842636723375,4.37092293068878
RP6-99M1.2,3.3005189375553,3.04303820945205,3.33544334898774,3.10825823581818,3.51132394613241,3.3005189375553,3.83063788209691,3.28878736652848,3.65206820149218,2.83692547364714
LINC00299,34.2482979921843,35.6780294671469,42.2452236398596,30.7715880182417,35.9239185599253,34.6170403230079,52.2531170548691,36.5661068121557,52.7585264377288,37.836242234919
NBR2,51.3151819996515,32.3532429147675,41.4909781531879,40.7024084036171,41.0709843796328,43.9861035270158,49.867141818208,40.4352728086731,41.7688211092038,42.7774423778591
