Gene.Symbol,C_GSM329660.CEL,C_GSM329663.CEL,C_GSM329664.CEL,C_GSM329666.CEL,C_GSM329667.CEL,C_GSM329670.CEL,C_GSM329672.CEL,C_GSM329674.CEL,P_SP_GSM329692.CEL,P_SP_GSM329694.CEL,P_SP_GSM329697.CEL,P_SP_GSM329700.CEL,P_SP_GSM329703.CEL,P_SP_GSM329704.CEL,P_SP_GSM329707.CEL,P_SP_GSM329709.CEL,P_SP_GSM329711.CEL,P_SP_GSM329714.CEL
GYS1,202.482220454916,415.427630307675,276.616982936591,217.39221752126,365.085812249226,220.732935237442,243.774835898997,253.335303507733,255.55751738518,306.257339007572,195.850453922482,192.346966848312,174.691318241147,270.328409529779,401.326161958504,231.190885572726,202.476690038606,132.307914827924
RP11-114H24.6,34.0313303685689,44.2437400679507,51.4011033370093,45.7838304667221,41.913034063515,39.0153623927746,43.1250976876885,44.2749783779378,35.9596846391826,33.6683645418463,37.1784684980168,35.7415267374032,39.0486204708815,47.5626734729328,41.9923540560034,40.1610937374989,43.3680399763206,43.5765152727445
DDX3Y,89.2853048996579,48.5616676788686,18.9748711566234,40.8459061677713,52.2876110200566,18.5877673743002,18.4776031370031,17.0835752778343,53.5636517413061,15.9492572681091,14.9652860314218,15.4389751415337,16.0712385143219,17.7191891193302,14.725513700406,29.0575565168532,79.0615089053018,18.6895650523605
STS,174.274097317994,134.352230014288,105.065232717056,203.167641692927,184.314492223437,180.492160821403,271.100408553524,183.144612565722,109.190661062577,110.97220010896,187.679494441476,219.02840319266,126.544676710379,156.555977655874,108.664599727656,169.609835437966,168.813039607302,178.655555738794
CDH5,113.187995694461,157.587789443924,116.822999081556,87.9246104547378,133.690216462614,84.0040260042689,86.5653938057015,86.4949422709554,120.051174629956,232.109345467353,126.18564212482,146.688970189172,107.025444089801,64.4845333143468,332.280498784704,93.0703300388231,142.537089222137,94.1771607709449
WDR82,2036.21463224936,1897.10945500179,1655.28386064603,2085.86457582226,1800.28142294206,1621.11565568193,1857.55745635429,2086.36301190984,1377.92964993082,1841.1685674654,2087.21624106944,2057.59462134601,1427.45497304942,1576.06953226262,1484.88214464234,2130.81662560739,1761.57324400559,1632.28554216114
RP1-217P22.2,15.8667621345001,15.4760326440676,18.8245139651908,15.6567169798083,17.5888921062199,17.8321137221466,18.5501699351183,14.829914486281,13.9116300964254,14.8064380170017,15.8442623438595,15.2358500378287,17.2664516892555,15.6511662951931,18.6452093708788,14.9052232238247,14.5928127547966,16.8681403124198
DLG3,56.5083683109315,72.2396119639235,55.4484937524009,93.9825180331307,62.383442256563,130.48695440414,66.1417533786744,269.974260436605,61.721656137394,69.2229226053608,74.063483801619,74.5766633526653,84.1878053887013,60.2088894827621,51.2403947152912,77.2959372670999,82.5323533906473,71.9614790411157
BCAT2,159.452563408115,136.887332133601,177.148142504164,154.408946659891,191.504106212868,156.906160706906,151.608423022392,106.421083583697,155.988776548468,155.00521863988,136.514818514009,120.619663352199,71.1843451462475,134.571972504183,221.08580452338,99.327880575697,106.992097653444,167.394997071593
FAM134B,14.3605909976108,13.4181793319122,15.2426373706307,13.4645573228584,13.8267110850047,13.405059260835,14.4359904575754,13.2532921303769,11.6793215231936,12.3852101255665,14.8254142166201,13.326355935802,12.942893112342,12.9696335383049,13.3142814439928,14.5387263413452,13.6576296329321,12.4175446525918
ARPC5,575.445661622335,970.557456354287,476.157073119713,653.314781907414,544.835234132064,946.799077747693,716.754854848702,1400.11148533963,1166.54334701252,890.847084824723,838.363011909842,798.312278593155,1192.13341119191,645.483481019547,845.131708613121,980.946345243175,802.229655485655,682.870333242045
IGJ,12.6705583283807,13.3050048872994,13.2893992033206,12.6519742146735,13.3742938537343,12.9837980058063,13.3789703996966,14.2072461785097,12.6705583283807,12.4495938971059,12.2733033842662,13.1247575541354,13.1928907218644,12.9187850424837,13.2402444031563,12.2795836586973,11.5999641657703,12.5027005338233
RRP12,45.4431834892165,72.263028439016,57.576144033804,70.8658038118944,48.2558158249708,67.0592848746069,49.5797322831388,64.5117236623616,62.3884626325316,59.9894752671319,103.881080618966,54.8727203078738,61.5379437368155,61.0962726211982,67.0864382395031,70.8611262518663,61.3734382638936,59.3459363034353
SIGMAR1,239.059827083889,236.00448674616,285.378694211254,321.976431122517,267.305597887639,256.214442698844,263.031881217269,265.415631302762,203.690718554779,258.224170129772,290.224125186195,210.670725833516,245.895745687078,236.894412517649,277.957195802422,363.642419191722,191.830752112598,157.950284756994
CCKAR,47.139950100244,59.3176416434298,125.787528497168,57.4744804791133,60.6811552288801,54.0963507959357,70.9017041367804,45.069276653215,50.6116441183504,44.0047281603117,46.485538442113,51.210013636969,50.2696660582983,86.5307894068505,63.8242562536935,51.7042682178158,48.2254187514469,50.7360320574507
SCAF4,60.7215284821905,44.4217188462134,39.4114127449997,31.5490807353937,36.1550728617674,47.8135203029044,40.6698839471807,46.8357588557212,78.1965040362724,38.8972507297123,29.0027603121106,62.5330334204342,56.6164046545987,45.9064390903286,44.6705595881523,36.1268945155443,55.0535077479353,74.1084432554034
