Gene.Symbol,C_GSM329660.CEL,C_GSM329663.CEL,C_GSM329664.CEL,C_GSM329666.CEL,C_GSM329667.CEL,C_GSM329670.CEL,C_GSM329672.CEL,C_GSM329674.CEL,P_GRN_GSM329677.CEL,P_GRN_GSM329679.CEL,P_GRN_GSM329681.CEL,P_GRN_GSM329683.CEL,P_GRN_GSM329686.CEL,P_GRN_GSM329689.CEL
TBC1D31,56.1512107496912,23.2025644075531,30.1969928486409,22.625579302835,17.8638924986411,22.3222610440884,23.4576533987609,30.8538256774497,30.4585902667939,29.3686486712855,29.6011522665284,29.5612808243452,36.0908613403852,25.0308219881574
RP11-286E11.2,12.1012044625518,13.9610729716633,16.4146832379202,13.1784958429641,14.1501471680808,13.8717256532139,13.4437766471283,12.5950603985097,14.3251209258444,14.8623519213754,13.4187312377126,14.5084990527568,15.9751994684313,12.9228877039548
MAPK12,52.6111426988491,59.2827723316593,82.9893672180171,76.2129992827302,61.4945886060284,47.3219991865421,77.0149033258407,71.2918091525285,90.2082147057234,76.1116746180694,47.5295770959064,79.5113325132686,65.4352049000688,74.4101524830139
FAM69A,763.939834060733,385.649510968558,271.063156416805,523.54997811445,431.612853341939,395.477380194503,563.660081795188,497.619422393543,304.374948677541,551.946377236603,385.487840848558,382.127034314199,504.64244035506,389.815630847241
CDC20,26.9109042644981,26.7846821266321,29.1601996408838,32.5038213878628,32.383075957907,24.7076591265173,26.8104420805827,53.2628042675178,29.7121346869163,28.3221213673232,24.1024372352837,26.8766875334149,31.9182660650053,29.0875945924927
PHF21A,236.083640764601,314.698154326084,184.971453385706,169.883596614435,213.579306512812,186.928215597442,207.01842105273,212.089622077718,187.953663309311,183.943647094363,310.494326766148,247.288181839947,272.649392095365,207.864033758405
ACN9,35.4527475703331,29.3209475853244,29.7084331919544,36.7729977109347,29.0737033971262,27.0392805128742,30.3437008491661,34.5120636413047,22.0022799696051,39.4756173218701,37.2410013417434,29.125282284097,22.503287066026,28.3407177731744
KRT32,56.5122760000144,54.1210443748357,94.8141136072058,61.8795918548297,67.9638691364643,51.958682246503,54.2594223359909,43.4970222491748,62.0100517340492,51.2636304993433,50.4045780845485,57.5547321511089,55.9547115765779,51.845076192558
PCK2,37.6658740407524,53.8912924843517,95.4304619613384,62.5946740016697,71.3983153709356,40.3413478956841,66.4685761873884,56.0867100551824,53.7667768899842,57.0786881003157,93.9310089409966,81.5361677230162,57.7881811123289,55.6504023853207
PSMA4,579.150247634138,484.481023968977,353.874948665189,502.047635430629,427.548714681097,511.446377236603,463.984562979408,573.910662950889,277.908395316767,559.803520093746,566.951668835209,551.974490081493,431.620584581909,336.267405674973
