"SUID","name","selected","shared name"
"116589","PSMD1","false","PSMD1"
"116591","MKL2","false","MKL2"
"116594","GMEB1","false","GMEB1"
"116596","ZNF512B","false","ZNF512B"
"116598","LEF1","false","LEF1"
"116600","HIPK2","false","HIPK2"
"116602","ZEB1","false","ZEB1"
"116604","DVL1","false","DVL1"
"116606","TCF20","false","TCF20"
"116608","MED24","false","MED24"
"116610","HMGA2","false","HMGA2"
"116612","SKIL","false","SKIL"
"116614","MEN1","false","MEN1"
"116617","CDK7","false","CDK7"
"116619","MAPK1","false","MAPK1"
"116621","CDK8","false","CDK8"
"116624","HDAC1","false","HDAC1"
"116627","NAP1L1","false","NAP1L1"
"116629","LCP2","false","LCP2"
"116632","HAP1","false","HAP1"
"116634","ZBTB33","false","ZBTB33"
"116636","ZNF131","false","ZNF131"
"116640","RAN","false","RAN"
"116642","CA9","false","CA9"
"116646","CDK5RAP3","false","CDK5RAP3"
"116648","DDIT3","false","DDIT3"
"116651","JUN","false","JUN"
"116654","LAMB2","false","LAMB2"
"116657","MORC3","false","MORC3"
"116659","ANKIB1","false","ANKIB1"
"116661","KLC4","false","KLC4"
"116663","ACTN4","false","ACTN4"
"116665","CDK11A","false","CDK11A"
"116668","COPS4","false","COPS4"
"116671","AP2B1","false","AP2B1"
"116673","MAGED1","false","MAGED1"
"116675","RBPMS","false","RBPMS"
"116677","TRIM54","false","TRIM54"
"116679","LZTS2","false","LZTS2"
"116681","APOBEC1","false","APOBEC1"
"116683","ITK","false","ITK"
"116685","CSNK1A1","false","CSNK1A1"
"116687","NUP50","false","NUP50"
"116689","PLAG1","false","PLAG1"
"116691","RELA","false","RELA"
