GeneSymbol,GeneSymbol.1,INT
RNF40,TERF1,PPI
CDC37,TERF1,PPI
TERF1,RNF2,PPI
TERF1,SYNE2,PPI
TDRD6,TERF1,PPI
NARS,SAMHD1,PPI
CUL5,SAMHD1,PPI
CUL3,SAMHD1,PPI
PA2G4,TERF1,PPI
APP,SAMHD1,PPI
PLOD2,SAMHD1,PPI
JUP,SAMHD1,PPI
GART,SAMHD1,PPI
NEDD8,SAMHD1,PPI
RPL22L1,CAND1,PPI
SKP2,SAMHD1,PPI
CAND1,SERBP1,PPI
RNF2,SAMHD1,PPI
EGFR,SAMHD1,PPI
CBX5,ZNF585A,PPI
TRIM74,USP32,PPI
RPS19,GRB2,PPI
SARS,TERF1,PPI
MYBPC3,TRIM55,PPI
TERF1,SIRPD,PPI
MYC,SARS,PPI
GNL3L,TERF1,PPI
TERF1,TERF2IP,PPI
MYC,ARL1,PPI
UTRN,TERF1,PPI
TERF1,YWHAG,PPI
CBX5,PPP2CB,PPI
HSPC152,LUC7L3,PPI
TERF1,PPP2CB,PPI
MYC,MSH3,PPI
LRRC47,USP32,PPI
YWHAB,USP32,PPI
KRT8,USP32,PPI
FARSLA,USP32,PPI
CDK1,USP32,PPI
TRIP13,USP32,PPI
USP6,USP32,PPI
CBX5,SUB1,PPI
CBX5,MAP1LC3A,PPI
RPL31,EEF1A1,PPI
KPNA6,KPNA2,PPI
SERBP1,MAP1LC3A,PPI
TERF1,TRIP10,PPI
TERF1,CFAP58,PPI
MYC,CSE1L,PPI
HIST1H4L,CBX5,PPI
UCHL3,SNRPD1,PPI
SP100,CBX5,PPI
GRB2,SIRPA,PPI
TXNDC9,FAM175B,PPI
NDUFA1,TRIM55,PPI
TXNDC9,WASF1,PPI
TXNDC9,PPIP5K1,PPI
TXNDC9,ZPR1,PPI
HUNK,GRB2,PPI
TXNDC9,IMMT,PPI
GRB2,KRT82,PPI
WDR57,SNRPE,PPI
APP,ZMAT3,PPI
STAU1,ZMAT3,PPI
PRKRA,ZMAT3,PPI
GRB2,FAM175B,PPI
RPS4X,RPL31,PPI
SH2B1,GRB2,PPI
ELF3,JAK1,PPI
CHD3,TXNDC9,PPI
GRB2,USP53,PPI
TERF1,TERF2,PPI
TERF1,MCCC2,PPI
TXNRD1,GLRX2,PPI
DCP2,SFXN2,PPI
ACTA1,TRIM55,PPI
TERF1,NXNL1,PPI
H3F3C,KAT6A,PPI
TERF1,STUB1,PPI
TALDO1,TERF1,PPI
SMARCA2,ZMAT3,PPI
UBE2D3,TRIM55,PPI
TERF1,TCIRG1,PPI
SMARCA2,CBX5,PPI
CBX5,ZNF460,PPI
NCL,GRB2,PPI
CBX5,MECP2,PPI
TERF1,NUMA1,PPI
ZNF471,HAUS1,PPI
OSBPL8,AMFR,PPI
MACROD2,TERF1,PPI
ZNF195,CBX5,PPI
WDR6,GRB2,PPI
TRIM55,SF3B6,PPI
CSK,GRB2,PPI
LUC7L3,NFIA,PPI
GART,UGP2,PPI
COA7,TXNDC17,PPI
RPS3,SERBP1,PPI
CUL3,RUVBL1,PPI
CAND1,RUVBL1,PPI
SHC1,RUVBL1,PPI
GRK5,RUVBL1,PPI
UBD,RUVBL1,PPI
ATP6V1B2,RUVBL1,PPI
TMED9,RUVBL1,PPI
PSMC6,RUVBL1,PPI
SMARCA1,RUVBL1,PPI
C1orf156,RUVBL1,PPI
STOM,RUVBL1,PPI
FBXW4,RUVBL1,PPI
URI1,RUVBL1,PPI
PABPC1,RUVBL1,PPI
SMG8,RUVBL1,PPI
SMG1,RUVBL1,PPI
LMNA,RUVBL1,PPI
FLJ12886,RUVBL1,PPI
RNF2,RUVBL1,PPI
FBXO46,RUVBL1,PPI
PRKN,RUVBL1,PPI
RPAP3,RUVBL1,PPI
CDC42,RUVBL1,PPI
NEDD4,RUVBL1,PPI
IQGAP1,RUVBL1,PPI
EED,RUVBL1,PPI
CEP250,RUVBL1,PPI
CCDC8,RUVBL1,PPI
HLA-B,RUVBL1,PPI
GNAS,RUVBL1,PPI
CBX5,SUZ12,PPI
HSPA8,RUVBL1,PPI
PCBP2,RUVBL1,PPI
CDK9,RUVBL1,PPI
MEPCE,RUVBL1,PPI
C12orf45,RUVBL1,PPI
CAPNS1,RUVBL1,PPI
MLH1,RUVBL1,PPI
GPN1,RUVBL1,PPI
TTI1,RUVBL1,PPI
RUVBL1,TELO2,PPI
LZTR1,RUVBL1,PPI
H2AFX,RUVBL1,PPI
ALDH7A1,PGD,PPI
NUFIP1,RUVBL1,PPI
MORF4L1,RUVBL1,PPI
INO80E,RUVBL1,PPI
INOC1,RUVBL1,PPI
MYC,RUVBL1,PPI
ACTR8,RUVBL1,PPI
INO80C,RUVBL1,PPI
MCRS1,RUVBL1,PPI
HDAC5,RUVBL1,PPI
WASL,TRIP10,PPI
UBC,RUVBL1,PPI
BCL3,RUVBL1,PPI
SUMO3,SAMHD1,PPI
GRB2,MAP4K3,PPI
TERF1,ZC3H18,PPI
COPS5,BRWD1,PPI
COPS5,SNRPE,PPI
CBX5,RBBP4,PPI
HSPC142,GRB2,PPI
GRB2,RADIL,PPI
TERF1,KIAA2022,PPI
GRB2,NAP1L5,PPI
GRB2,WIPF1,PPI
GART,RPL24,PPI
SNRPE,SMN1,PPI
GRB2,IK,PPI
XPO1,UBE2Z,PPI
LUC7L3,RRP1B,PPI
GRB2,KRT33B,PPI
EMC1,EMC3,PPI
SNRPE,SF3A2,PPI
UBD,UBE2Z,PPI
TRIM65,UBE2Z,PPI
PGD,TERF1,PPI
GART,ARF6,PPI
CUL3,BRWD1,PPI
RPL27,RPL31,PPI
DZIP3,UBE2Z,PPI
RAPSN,UBE2Z,PPI
ALAS2,GRB2,PPI
PPP1CA,UBE2Z,PPI
UCHL3,XIAP,PPI
YLPM1,GRB2,PPI
GRB2,DCTN2,PPI
ACVRL1,SMAD1,PPI
MAGEA6,HAUS1,PPI
MED7,HAUS1,PPI
GRB2,KIAA1549L,PPI
SMAD1,KAT2A,PPI
H1F0,GRB2,PPI
SMAD1,SF3B1,PPI
KPNA2,MAGEH1,PPI
RPL17-C18orf32,RPL31,PPI
MET,GRB2,PPI
GRB2,SH3PXD2A,PPI
WASL,IPO5,PPI
IPO5,TERF1,PPI
LDHA,TERF1,PPI
GRB2,SLX1B,PPI
CBX5,ZFP1,PPI
UCHL3,POGK,PPI
DCP2,GTPBP2,PPI
GRB2,ARAP1,PPI
TRIM27,UBE2Z,PPI
KRT2,GRB2,PPI
MT2A,JMJD1C,PPI
CUL3,SERBP1,PPI
APP,SERBP1,PPI
PAN2,SERBP1,PPI
TP53,SERBP1,PPI
MDH1,TERF1,PPI
IKBKAP,DCP2,PPI
GRB2,TCEAL8,PPI
AP2A1,GRB2,PPI
GTF2A2,TERF1,PPI
GRB2,DYNC1H1,PPI
FTL,GRB2,PPI
POLR2C,POLR1D,PPI
TERF1,ATN1,PPI
SUMO2,SERBP1,PPI
MYC,MED1,PPI
RPL31,TCF3,PPI
CUL3,RPL31,PPI
RPL31,CUL2,PPI
RPL31,COPS6,PPI
APP,RPL31,PPI
RPL31,RPL11,PPI
RPL31,RPL19,PPI
RPL23A,RPL31,PPI
RPL7A,RPL31,PPI
RPS14,RPL31,PPI
RPS3,RPL31,PPI
RPL9P7,RPL31,PPI
RPL35,RPL31,PPI
RPLP0,RPL31,PPI
RPL31,EBNA1BP2,PPI
DHX15,RPL31,PPI
RBMX,RPL31,PPI
IFIT2,RPL31,PPI
UBL4A,RPL31,PPI
ICAM1,RPL31,PPI
RPL31,GPR20,PPI
RPL31,CEP76,PPI
TP53,RPL31,PPI
RPL31,TUBGCP3,PPI
RPL31,TCEAL9,PPI
ASF1B,RPL31,PPI
RPL31,NEDD8,PPI
GRB2,BRE,PPI
HOXA3,TERF1,PPI
GRB2,KIRREL,PPI
LASP1,TERF1,PPI
SMAD1,WWP1,PPI
HGS,SMAD1,PPI
TP53,SMAD1,PPI
MAST4,SMAD1,PPI
ZEB2,SMAD1,PPI
SMAD1,NOTCH2,PPI
SMAD1,PSMD1,PPI
SMAD1,MKL2,PPI
STARD13,SMAD1,PPI
SMAD1,GMEB1,PPI
SMAD1,ZNF512B,PPI
SMAD1,LEF1,PPI
SMAD1,HIPK2,PPI
ZEB1,SMAD1,PPI
DVL1,SMAD1,PPI
SMAD1,TCF20,PPI
MED24,SMAD1,PPI
HMGA2,SMAD1,PPI
SKIL,SMAD1,PPI
SMAD1,MEN1,PPI
NEDD4,SMAD1,PPI
CDK7,SMAD1,PPI
MAPK1,SMAD1,PPI
CDK8,SMAD1,PPI
SMAD1,DKFZp451O0517,PPI
CBX5,HDAC1,PPI
HDAC1,SMAD1,PPI
NAP1L1,RPL31,PPI
GRB2,LCP2,PPI
CDK2,KPNA2,PPI
KPNA2,HAP1,PPI
KPNA2,ZBTB33,PPI
KPNA2,ZNF131,PPI
UBD,KPNA2,PPI
APP,KPNA2,PPI
KPNA2,RAN,PPI
KPNA2,CA9,PPI
PTMA,KPNA2,PPI
FTH1,KPNA2,PPI
KPNA2,CDK5RAP3,PPI
DDIT3,KPNA2,PPI
GART,KPNA2,PPI
JUN,KPNA2,PPI
KRT8,KPNA2,PPI
LAMB2,KPNA2,PPI
KPNA2,TRAF1,PPI
KPNA2,MORC3,PPI
KPNA2,ANKIB1,PPI
KPNA2,KLC4,PPI
ACTN4,KPNA2,PPI
KPNA2,CDK11A,PPI
KPNA2,ACLY,PPI
KPNA2,COPS4,PPI
HSP90AB1,KPNA2,PPI
KPNA2,AP2B1,PPI
KPNA2,MAGED1,PPI
RBPMS,KPNA2,PPI
KPNA2,TRIM54,PPI
KPNA2,LZTS2,PPI
APOBEC1,KPNA2,PPI
KPNA2,ITK,PPI
