"SrNo","V1","V2"
32757,"P34947","Q9Y265"
32758,"O15205","Q9Y265"
32760,"P21281","Q9Y265"
32761,"Q9BVK6","Q9Y265"
32762,"P62333","Q9Y265"
32763,"P28370","Q9Y265"
32765,"A0A024R8Y7","Q9Y265"
32767,"A0A024R882","Q9Y265"
32772,"P57775","Q9Y265"
32773,"O94763","Q9Y265"
32774,"A0A024R9C1","Q9Y265"
32775,"Q8ND04","Q9Y265"
32776,"Q96Q15","Q9Y265"
32777,"P02545","Q9Y265"
32778,"A0A024R0Q0","Q9Y265"
32781,"Q99496","Q9Y265"
32782,"Q6PJ61","Q9Y265"
32783,"O60260","Q9Y265"
32785,"Q9H6T3","Q9Y265"
32786,"A0A024RAE4","Q9Y265"
32787,"P46934","Q9Y265"
32789,"A0A024RC65","Q9Y265"
32791,"E9PJK2","Q9Y265"
32793,"Q9BV73","Q9Y265"
32794,"Q9H0W5","Q9Y265"
32799,"E5FQ95","Q9Y265"
32801,"Q5JWF2","Q9Y265"
32815,"P45973","Q15022"
32822,"Q53HF2","Q9Y265"
32823,"Q15366","Q9Y265"
32824,"A0A024R880","Q9Y265"
32826,"Q7L2J0","Q9Y265"
32829,"Q8N5I9","Q9Y265"
32831,"P04632","Q9Y265"
32832,"P40692","Q9Y265"
32833,"Q9HCN4","Q9Y265"
32835,"O43156","Q9Y265"
32838,"Q9Y265","Q9Y4R8"
32839,"Q8N653","Q9Y265"
32859,"P16104","Q9Y265"
32883,"P49419","P52209"
32886,"Q9UHK0","Q9Y265"
32888,"Q9UBU8","Q9Y265"
32889,"Q8NBZ0","Q9Y265"
32890,"A0A024R9R7","Q9Y265"
32892,"P01106","Q9Y265"
32893,"Q9H981","Q9Y265"
32895,"Q6PI98","Q9Y265"
32896,"A0A024R134","Q9Y265"
32898,"Q9UQL6","Q9Y265"
32900,"O00401","Q15642"
32906,"P0CG48","Q9Y265"
32909,"P20749","Q9Y265"
33158,"P55854","Q9Y3Z3"
33607,"P62993","Q8IVH8"
33685,"P54274","Q86VM9"
33816,"A0A024R7W9","Q9NSI6"
33980,"A0A024R7W9","P62304"
34075,"P45973","Q09028"
34090,"A0A024R7L2","P62993"
34161,"P62993","Q96JH8"
34194,"P54274","Q5QGS0"
34284,"P62993","Q96NT1"
34330,"P62993","Q2YDC4"
34532,"P22102","P83731"
34852,"P62304","Q16637"
34944,"P62993","Q13123"
34953,"O14980","Q9H832"
35042,"O95232","Q14684"
35114,"P62993","Q14525"
35174,"Q8N766","Q9P0I2"
35199,"P62304","Q15428"
35246,"O15205","Q9H832"
35278,"Q6PJ69","Q9H832"
35346,"P52209","P54274"
35362,"P22102","P62330"
35386,"A0A024R475","Q9NSI6"
35458,"A0A024R1V4","P62899"
35557,"Q86Y13","Q9H832"
35559,"Q13702","Q9H832"
35571,"P22557","P62993"
35621,"P62136","Q9H832"
35653,"P15374","P98170"
35669,"P49750","P62993"
35716,"P62993","Q13561"
35778,"P37023","Q15797"
35983,"P43360","Q96CS2"
35990,"O43513","Q96CS2"
36014,"P62993","Q6ZVL6"
36045,"Q15797","Q92830"
36072,"P07305","P62993"
36329,"Q15797","Q7Z497"
36347,"P52292","Q9H213"
36516,"A0A0A6YYL6","P62899"
36541,"B4DLF5","P62993"
36666,"P62993","Q5TCZ1"
36683,"O00401","O00410"
36687,"O00410","P54274"
36722,"P00338","P54274"
36782,"P62993","Q9BQ83"
36807,"P45973","Q6P2D0"
36999,"P15374","Q9P215"
37017,"Q8IU60","Q9BX10"
37250,"P62993","Q96P48"
37373,"P14373","Q9H832"
37437,"P35908","P62993"
37513,"P02795","Q15652"
37728,"A0A024R475","Q8NC51"
37729,"P05067","Q8NC51"
37730,"Q504Q3","Q8NC51"
37731,"P04637","Q8NC51"
37861,"P40925","P54274"
38028,"O95163","Q8IU60"
38138,"P62993","Q8IYN2"
38194,"O95782","P62993"
38299,"A0A024R5Z5","P54274"
38329,"P62993","Q14204"
38396,"P02792","P62993"
38477,"P19387","Q9Y2S0"
38579,"P54274","Q86V38"
38697,"P61956","Q8NC51"
38792,"P01106","Q15648"
38814,"P62899","X6REB3"
38815,"A0A024R475","P62899"
38816,"P62899","Q13617"
38817,"P62899","Q7L5N1"
38818,"P05067","P62899"
38819,"P62899","P62913"
38820,"P62899","P84098"
38821,"P62750","P62899"
38822,"P62424","P62899"
38823,"P62263","P62899"
38824,"P23396","P62899"
38825,"P32969","P62899"
38826,"P42766","P62899"
38827,"A0A024RBS2","P62899"
