"SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","Cell.type","ClosenessCentrality","ClusteringCoefficient","DEG","Degree","Eccentricity","IsSingleNode","Matching.Attribute","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"12346","false","3.81472222","0.0","Neurons","0.26214229","0.0","false","1","5","false","PHLPP2","PHLPP2","74.0","1","0","0","0.43705556","false","0","PHLPP2","0","0.0"
"12222","false","3.56527778","3.38E-6","NA","0.28048305","0.0","false","2","5","false","NCBP1","NCBP1","52.0","2","0","0","0.48694444","false","0","NCBP1","742","0.52040816"
"12053","false","3.79055556","0.0","NA","0.26381357","0.0","false","1","5","false","S100A13","S100A13","128.0","1","0","0","0.44188889","false","0","S100A13","0","0.0"
"84556",,,,,,,,,,,,"RRAS2",,,,,,"false",,"RRAS2",,
"13294","false","3.86722222","0.0","NA","0.25858354","0.0","false","1","5","false","TRIM23","TRIM23","81.0","1","0","0","0.42655556","false","0","TRIM23","0","0.0"
"10822","false","3.01444444","0.00129716","NA","0.33173609","0.2","false","6","4","false","PRKN","PRKN","178.16666667","6","0","0","0.59711111","false","0","PRKN","265258","0.19225225"
"12334","false","3.75222222","0.0","NA","0.26650874","0.0","false","1","5","false","KRTAP4-12","KRTAP4-12","137.0","1","0","0","0.44955556","false","0","KRTAP4-12","0","0.0"
"84572",,,,,,,,,,,,"EML3",,,,,,"false",,"EML3",,
"12846","false","4.03888889","0.0","NA","0.24759285","0.0","false","1","5","false","THBS1","THBS1","32.0","1","0","0","0.39222222","false","0","THBS1","0","0.0"
"84576",,,,,,,,,,,,"FSD2",,,,,,"false",,"FSD2",,
"12197","false","3.61027778","1.4681E-4","NA","0.276987","0.0","false","2","5","false","MAPK6","MAPK6","143.5","2","0","0","0.47794444","false","0","MAPK6","23668","0.51258993"
"84580",,,,,,,,,,,,"RAP2B",,,,,,"false",,"RAP2B",,
"84582",,,,,,,,,,,,"CARM1",,,,,,"false",,"CARM1",,
"12347","false","3.4775","1.2391E-4","NA","0.2875629","0.0","false","3","4","false","CSTB","CSTB","120.66666667","3","0","0","0.5045","false","0","CSTB","17580","0.34288443"
"12348","false","3.53694444","1.4E-6","NA","0.28272991","0.0","false","2","5","false","RNF168","RNF168","52.5","2","0","0","0.49261111","false","0","RNF168","326","0.54210526"
"11102","false","3.44222222","2.7538E-4","NA","0.29051001","0.0","false","3","4","false","HSPA4","HSPA4","116.0","3","0","0","0.51155556","false","0","HSPA4","38816","0.33923304"
"12357","false","3.64472222","0.0","NA","0.27436933","0.0","false","1","5","false","MTRNR2L1","MTRNR2L1","311.0","1","0","0","0.47105556","false","0","MTRNR2L1","0","0.0"
"11626","false","3.53888889","7.42E-6","NA","0.28257457","0.33333333","false","3","5","false","MED26","MED26","64.33333333","3","0","0","0.49222222","false","0","MED26","1520","0.40764331"
"84589",,,,,,,,,,,,"MOS",,,,,,"false",,"MOS",,
"10981","false","2.92555556","0.00184466","NA","0.34181542","0.11111111","false","10","4","false","MDM2","MDM2","137.1","10","0","0","0.61488889","false","0","MDM2","390742","0.12725581"
"13921","false","2.80666667","0.00682056","NA","0.35629454","0.02040816","true","50","4","false","ZBTB7A","ZBTB7A","26.42","50","0","0","0.63866667","false","0","ZBTB7A","748878","0.03558299"
"11498","false","3.365","6.5829E-4","NA","0.29717682","0.0","false","3","4","false","HEL-S-103","HEL-S-103","216.33333333","3","0","0","0.527","false","0","HEL-S-103","128840","0.35070575"
"11566","false","3.45638889","2.219E-5","NA","0.2893193","0.0","false","2","4","false","RPL6","RPL6","212.0","2","0","0","0.50872222","false","0","RPL6","15306","0.54381443"
"13106","false","3.64472222","0.0","NA","0.27436933","0.0","false","1","5","false","NRAS","NRAS","311.0","1","0","0","0.47105556","false","0","NRAS","0","0.0"
"84600",,,,,,,,,,,,"WDR74",,,,,,"false",,"WDR74",,
"84604",,,,,,,,,,,,"KDM2A",,,,,,"false",,"KDM2A",,
"11298","false","3.29638889","0.00148968","NA","0.30336227","0.0","false","4","5","false","MVP","MVP","159.75","4","0","0","0.54072222","false","0","MVP","161208","0.2602459"
"11533","false","3.91","0.0","NA","0.25575448","0.0","false","1","5","false","TTC1","TTC1","60.0","1","0","0","0.418","false","0","TTC1","0","0.0"
"13562","true","3.575","0.0","NA","0.27972028","0.0","false","1","5","false","GARS","GARS","285.0","1","0","0","0.485","false","0","GARS","0","0.0"
"12981","false","3.76083333","0.0","NA","0.26589852","0.0","false","1","5","false","CCNE1","CCNE1","230.0","1","0","0","0.44783333","false","0","CCNE1","0","0.0"
"12003","false","3.79055556","0.0","Neurons","0.26381357","0.0","false","1","5","false","EEF1A2","EEF1A2","128.0","1","0","0","0.44188889","false","0","EEF1A2","0","0.0"
"13189","false","4.02694444","0.0","NA","0.24832724","0.0","false","1","5","false","STK3","STK3","63.0","1","0","0","0.39461111","false","0","STK3","0","0.0"
"10989","false","3.31","2.0126E-4","Neurons","0.3021148","0.16666667","false","5","5","false","CDK5","CDK5","125.75","5","0","1","0.538","false","0","CDK5","36674","0.27833333"
"13026","false","4.02694444","0.0","NA","0.24832724","0.0","false","1","5","false","STK4","STK4","63.0","1","0","0","0.39461111","false","0","STK4","0","0.0"
"10900","false","3.06277778","2.127E-4","NA","0.326501","0.07142857","false","8","4","false","RPA2","RPA2","107.5","8","0","0","0.58744444","false","0","RPA2","55926","0.15095339"
"10973","false","3.21805556","2.2811E-4","NA","0.31074666","0.16666667","false","4","4","false","MGMT","MGMT","176.0","4","0","0","0.55638889","false","0","MGMT","37446","0.2755102"
"12404","false","3.48888889","6.906E-5","NA","0.2866242","0.16666667","false","4","5","false","TRAF2","TRAF2","80.5","4","0","0","0.50222222","false","0","TRAF2","15776","0.28169014"
"11555","false","3.56277778","7.51E-6","NA","0.28067987","0.0","false","2","4","false","EIF2AK2","EIF2AK2","101.0","2","0","0","0.48744444","false","0","EIF2AK2","1850","0.51813472"
"10397","false","3.61833333","2.71E-6","Neurons","0.27637034","0.0","false","3","4","false","NEDD4L","NEDD4L","40.5","3","0","1","0.47633333","false","0","NEDD4L","436","0.51298701"
