GeneSymbol,GeneSymbol.1,INT
UBE2L3,UBE2B,PPI
HRAS,RALGDS,PPI
ILF2,EEF1A1,PPI
ILF2,RCN1,PPI
ILF2,PYROXD1,PPI
FAM107A,RINT1,PPI
UFM1,RCN1,PPI
EEF1A1,SNW1,PPI
DLG5,BAG5,PPI
BCL2,CISD2,PPI
RCN1,ATXN1,PPI
SETSIP,VAT1,PPI
MDFI,AQP1,PPI
BZW2,HACD3,PPI
CRYAB,GFAP,PPI
AQP1,KCTD17,PPI
CHCHD6,HACD3,PPI
EEF1A1,FBXO6,PPI
RCN1,SEC23A,PPI
UPF3A,EXOSC4,PPI
RPS11,EEF1A1,PPI
RCN1,DYRK4,PPI
YWHAQ,EEF1A1,PPI
EEF1A1,RPL10L,PPI
CREB1,CEBPB,PPI
MLLT6,UBE2G2,PPI
SP1,CEBPB,PPI
PPP2R1A,EEF1A1,PPI
CEBPB,PPARG,PPI
CEBPB,TP63,PPI
CEBPB,CASP1,PPI
SMARCA2,CEBPB,PPI
EEF1A1,NIFK,PPI
EEF1A1,MRPL14,PPI
EEF2,EEF1A1,PPI
AQP1,RGS17,PPI
ITGA4,NQO1,PPI
CUL1,EEF1A1,PPI
RCN1,LTV1,PPI
EEF1A1,LGR4,PPI
LGR4,HACD3,PPI
