"SrNo","V1","V2"
76109,"P05067","Q6PIL6"
76615,"J3KN16","P60604"
76720,"P81877","Q00534"
76778,"P0CG48","Q8N5K1"
76791,"Q12967","Q9Y4G8"
76870,"P81877","Q92630"
76900,"P81877","Q01844"
76963,"Q96LT7","Q96T76"
76969,"Q96LT7","Q96SB4"
76976,"Q13630","Q15293"
76991,"O43186","Q96LT7"
76995,"Q04864","Q96LT7"
77002,"Q13287","Q96LT7"
77575,"P10451","Q8N5K1"
77618,"P05067","Q8N5K1"
77661,"F1D8S4","Q00526"
77856,"A0A024R6B5","P68104"
78204,"P0CG48","Q13613"
78251,"A0A024QZD1","P68104"
79196,"P0CG48","Q8WU10"
79629,"A0A024R9P0","Q15293"
79816,"P35498","Q15843"
79931,"Q01844","Q8WUY3"
80001,"Q15293","Q15942"
80124,"P68104","Q8N163"
80213,"O14788","P68104"
80624,"A0A024R2N7","P29972"
81078,"Q14108","Q92804"
81773,"P34947","Q8N1I0"
81853,"P68104","Q15019"
82979,"P0CG48","P63146"
83102,"P68104","Q8N961"
84052,"Q99536","Q9BQ24"
84300,"Q01813","Q99536"
84311,"O60664","Q99536"
84387,"O75182","P50539"
84447,"Q6ZVD8","Q99536"
84516,"A0A024R179","Q99536"
84549,"O60443","P0CG48"
84586,"Q99536","Q99584"
84795,"P0CG48","P49716"
84972,"A0A024R1A3","P60604"
86131,"P0CG48","Q15293"
86264,"P62070","Q12967"
86668,"P0CG48","P68104"
86964,"Q15293","Q9BY43"
87162,"P0CG48","Q7Z5Y7"
87410,"P0CG48","P60604"
87517,"A0A024R730","Q15293"
87655,"P29972","P36406"
87898,"P0CG48","Q9UQB3"
88076,"O60260","P68104"
88116,"O60260","P60604"
88160,"P0CG48","Q9NZZ3"
88267,"P0CG48","P50539"
88704,"P29972","Q9BQ66"
88913,"P0CG48","Q9P035"
89091,"P68104","Q86VP6"
89099,"P0CG48","Q32P44"
89248,"P07996","Q14108"
89695,"Q15293","Q9BV73"
89935,"A1L4K1","P29972"
89998,"A1L4K1","O95990"
90339,"Q08345","Q16659"
90974,"P61225","Q12967"
91003,"P17676","Q86X55"
91183,"P04080","P09668"
91188,"P60604","Q8IYW5"
91558,"P15559","P34932"
91784,"P0CJ68","P68104"
92147,"O95402","P17676"
92200,"P00540","P14136"
92978,"P68104","Q00987"
93850,"P60604","Q00987"
94010,"O95365","P68104"
94299,"A8K5I0","P68104"
94311,"P32121","Q00526"
94382,"P05067","Q00526"
94552,"A0A024RB77","Q99536"
94596,"A0A024RBK3","P68104"
94631,"P01111","Q99536"
94632,"Q6RFH5","Q99536"
94646,"B0ZBD0","P15559"
94683,"P20648","Q99536"
94689,"I3VM53","P60604"
94693,"O60260","Q99536"
94696,"Q14764","Q99536"
94705,"Q99536","Q99614"
94709,"P41250","Q99536"
94730,"P04637","Q99536"
94820,"P24864","Q00526"
94840,"P16104","Q99536"
94846,"Q00526","Q05639"
95002,"Q00526","Q13188"
95004,"Q00526","Q00535"
95005,"Q00526","Q13043"
95026,"P15927","P68104"
95077,"P51693","P68104"
95381,"B4DEE8","P68104"
95480,"A0A024R8H5","P29972"
95770,"Q00526","Q8IW76"
95938,"B7Z2P9","Q00526"
96023,"P0CG48","Q00526"
96119,"P62249","P68104"
96455,"P35658","P68104"
97006,"P29972","P60369"
97201,"P49792","P68104"
97376,"P62140","P68104"
97403,"P60604","Q96DZ1"
97568,"P43351","P68104"
97570,"O95639","Q9H0L4"
97580,"Q06203","Q9C0D9"
97662,"P60604","Q8NE01"
97902,"P60709","Q9BY76"
98030,"P63146","Q13490"
98092,"P49716","Q8N2W9"
98215,"Q6PIL6","Q9NS61"
98216,"P49768","Q6PIL6"
98305,"P60604","P62877"
98446,"P60604","Q9BV40"
99198,"P50539","Q13137"
99365,"P05067","Q96LT7"
99747,"D0PNI1","P68104"
100235,"O95639","Q6P1J9"
100386,"P05067","P50539"
100486,"P02545","Q8N5K1"
100545,"P04233","P05067"
100824,"A0A024RA52","P68104"
100842,"P50539","Q7Z3S9"
101180,"O95639","Q7Z6E9"
101697,"A0A024R5T5","P60604"
101848,"Q9HAW0","Q9P035"
102413,"A0A024R7L5","Q9H1J1"
102476,"P50539","Q6A162"
102526,"P01106","Q9BY76"
102724,"P01106","Q15293"
102786,"O75874","Q15293"
102829,"P01106","P17676"
102849,"P14136","Q8TAP6"
102850,"P04637","P63146"
102858,"O15205","P14136"
102871,"P15313","Q14108"
102882,"O00762","P63146"
102884,"P63146","Q13404"
102886,"A0A024R284","P63146"
102887,"P63146","Q15436"
102891,"P63146","Q9UBT2"
102894,"A0A087WW00","P63146"
102895,"P63146","Q99614"
102897,"P63146","P78318"
102898,"P63146","Q96K21"
102903,"O95218","P63146"
102904,"P15313","P63146"
102905,"P60981","P63146"
102906,"B7Z478","P63146"
102907,"O60232","P63146"
102914,"P02768","P14136"
102930,"A0A024R2Q3","P63146"
102937,"A8K6K1","P63146"
102938,"P14136","Q08117"
102939,"P14136","Q08379"
102940,"P14136","P14373"
102941,"P14136","P35398"
102942,"P14136","Q8TCE9"
102944,"P14136","Q8WWB5"
103002,"P63146","Q13432"
103003,"P14136","P49810"
103010,"O14964","P14136"
103016,"A0A024RD62","P63146"
103055,"O00151","P14136"
103056,"P14136","Q6ZU52"
103198,"P60900","P68104"
103559,"Q8WU10","U3KQK1"
103624,"L7RRS6","P68104"
103920,"A0A024R4Q8","P68104"
104505,"Q13409","Q8WUY3"
104910,"P63146","Q9NRR5"
105106,"P63146","Q00987"
105755,"P48023","Q8N1I0"
105829,"A3RJH1","Q14108"
106026,"P29972","Q5JR59"
106131,"P60604","Q96BQ3"
106376,"P15531","Q13131"
106377,"A0A024R2Q3","Q9NQB0"
106378,"P24863","Q00526"
106410,"P17542","P81877"
106534,"Q5VW32","Q9NZZ3"
106577,"P24844","Q13131"
106659,"Q6KC79","Q9Y6X3"
106676,"K7PPA8","P15559"
106725,"P05230","Q8NI16"
106866,"P63146","Q7L7L0"
107059,"A0A024R6A3","Q9UQB3"
107150,"P49716","Q8TEX9"
107288,"P05230","P21802"
107384,"O43679","P81877"
107485,"P49716","Q96R06"
107583,"P50539","Q14901"
107593,"O14980","P49716"
107823,"O95071","P49716"
107869,"P17676","Q9HC16"
108023,"A0A024RCP3","P49716"
108288,"Q9BZI7","Q9H1J1"
108389,"P35498","P61328"
108564,"A0A024R2G2","P49716"
108804,"Q9H1J1","Q9HAU5"
108835,"P61024","Q00526"
108874,"O95639","Q6P1J9"
109013,"L7RRS6","Q12967"
109018,"P63146","Q14527"
109019,"P62987","P63146"
109143,"A0A024RCH3","Q9Y4J8"
109145,"Q5VTD9","Q9Y4J8"
109146,"Q96EV8","Q9Y4J8"
109153,"A0A024R7Y0","Q9Y4J8"
109202,"P81877","Q86U70"
109354,"Q8TCY9","Q9NZZ3"
109421,"P05230","P19784"
109815,"O95990","Q9H3D5"
109961,"O75478","O95990"
110263,"A0A024QZF2","Q12967"
110264,"A0A024RAV5","Q12967"
110265,"A0A024RAB5","Q12967"
110266,"O14807","Q12967"
110267,"Q12967","Q92963"
110268,"Q12967","Q53GM7"
110269,"Q12967","Q99578"
110355,"O14924","P68104"
110431,"I4AY87","P04233"
110780,"Q92664","Q9NZZ3"
110835,"A0A024RD16","P17676"
110969,"P06239","Q9UQB3"
111028,"Q13002","Q13131"
111276,"A4D2P0","Q9P035"
111505,"Q12926","Q14576"
111735,"P15336","P17676"
111786,"Q9BUL8","Q9NZZ3"
111787,"A0A024R8P8","Q9NZZ3"
111818,"P02652","P0C0L4"
111828,"P04233","Q9UBX1"
111917,"A0A024RDR0","P17676"
112086,"A8K2H7","P0C0L4"
112111,"A8K5I0","P15559"
112112,"P04637","P15559"
112113,"P15559","P25685"
112216,"P68104","Q8TBK6"
112272,"A0A024R075","P60604"
112324,"P01040","P09668"
112454,"P60604","Q05086"
112791,"A0A024R0G8","O60729"
113043,"E9PB61","Q9H1J1"
113470,"Q9H444","Q9NZZ3"
113858,"P0C0L5","P68104"
113881,"P08670","P14136"
114043,"Q13425","Q9Y4J8"
