"SrNo","V1","V2"
79751,"Q14289","Q9Y5K6"
79836,"P0CG48","Q96PU8"
79878,"O43251","Q8WXF8"
79921,"Q01844","Q14289"
79963,"P01106","Q969H0"
80040,"P05181","P50440"
80110,"Q96PU8","Q9NTK1"
80309,"Q969V6","Q9Y5B9"
80344,"A0A024QZ59","Q9NPH2"
80399,"O14578","P62745"
80675,"Q15366","Q96PU8"
80676,"Q96PK6","Q96PU8"
80678,"Q96PU8","Q9Y6N9"
80681,"Q15365","Q96PU8"
80686,"O43251","Q96PU8"
80687,"A0A024R8A7","Q96PU8"
80689,"O75448","Q96PU8"
80908,"A0A024R9J0","Q9C0C9"
81247,"P41182","Q9UKV0"
81428,"P0CG48","Q93050"
81747,"P48643","P49802"
81840,"Q96PU8","Q9UKA9"
81873,"P07900","P49802"
81876,"P13473","Q9NTI5"
82337,"O14775","P49802"
82346,"P08754","P49802"
82747,"Q16665","Q969H0"
82828,"P08247","P0CG48"
82991,"P24864","Q969H0"
83932,"Q969H0","Q96RU2"
83933,"P0CG48","Q9NRL2"
83982,"O75052","Q9Y272"
84037,"O14578","Q96RU2"
84330,"O75182","Q9UKV0"
84331,"O75182","O75446"
84332,"O75182","Q9UKT9"
84333,"O75182","Q9UKS7"
84336,"O60391","Q05586"
84383,"A0A024R1S7","O75182"
84387,"O75182","P50539"
84388,"O75182","P33076"
84419,"O75182","P04637"
84452,"D0PNI1","Q9UKV0"
84559,"P05067","Q9NSC5"
84561,"P78362","Q9NSC5"
84562,"P25786","Q9NSC5"
84563,"O75604","Q9NSC5"
84564,"Q9NSC5","Q9UBN4"
84758,"O15519","Q13077"
84926,"O75182","P0CG48"
85056,"A0A087WY09","Q6NZI2"
85071,"Q6NZI2","Q6ZMU5"
85099,"A0A024QZ62","Q6NZI2"
85100,"Q6NZI2","Q96A26"
85101,"O00567","Q6NZI2"
85102,"Q6NZI2","Q9UKN8"
85104,"A0A024R6I3","Q6NZI2"
85108,"P31943","Q6NZI2"
85123,"Q05469","Q6NZI2"
85127,"P01106","Q6NZI2"
85136,"O95817","Q6NZI2"
85140,"P00533","Q6NZI2"
85220,"P43699","Q6NZI2"
85264,"Q86X55","Q96PU8"
85318,"P0CG48","Q6NZI2"
85638,"P17600","Q9BXP5"
85803,"P11308","P17600"
86031,"O43463","Q9UKV0"
86035,"P17600","Q92993"
86037,"P17600","P62993"
86042,"L7RT18","P17600"
86043,"P17600","Q99962"
86049,"P17600","P49418"
86423,"O15519","Q8WXF8"
86535,"P0CG48","Q8TER5"
86621,"O15031","P0CG48"
86837,"A6H8W8","P17600"
87082,"A0A024R829","Q9NRL2"
87337,"Q14152","Q969H0"
88127,"O60260","Q969H0"
88333,"G5E962","O94818"
88334,"O94818","Q8IZU0"
88407,"P0CG48","Q9C0C9"
89227,"A0A024QZ59","O75052"
89545,"O14936","Q9H2G4"
89590,"Q9C0C9","Q9UKG1"
89702,"A0A024RB77","Q9H2G4"
89848,"O75052","Q07954"
89851,"O75052","Q92777"
89975,"Q96PU8","Q9NVC6"
90033,"Q9HBL0","Q9NPF4"
90065,"Q14289","Q92796"
90123,"A0A024R305","Q9C0C9"
90127,"P14373","Q9C0C9"
90374,"O94818","Q16659"
90545,"O00472","Q96CJ1"
90862,"P08670","P17600"
91611,"P31947","Q9UKV0"
92186,"O75817","Q9C0C9"
92323,"B0YIY3","Q9UKV0"
92579,"A0A024R328","Q14289"
92748,"P05090","Q9BWU1"
