GeneSymbol,GeneSymbol.1,INT
NOL4,MAPK6,PPI
ELL2,EAF2,PPI
VIM,SYN1,PPI
SFN,HDAC9,PPI
POP7,UBE2O,PPI
CAMK1,HDAC9,PPI
PRKCD,PTK2B,PPI
APOD,CDK19,PPI
PSME4,SEPT10,PPI
TPR,HDAC9,PPI
SIN3B,MORF4L2,PPI
MOS,HOMER3,PPI
PTEN,FBXW7,PPI
PTPRN,SPTBN4,PPI
ENC1,HSP90AA1,PPI
NFATC4,GPR22,PPI
TFAP2C,GPR22,PPI
LAMP2,MDM2,PPI
CUL3,ENC1,PPI
CDK2,APOD,PPI
RIPK1,CFLAR,PPI
HLA-DMB,TEAD1,PPI
ALG2,PTK2B,PPI
DYNLL2,SHANK2,PPI
XK,CARD6,PPI
CFLAR,ATG3,PPI
NLK,SHANK2,PPI
H1FX,HDAC9,PPI
NUP214,HDAC9,PPI
DKFZp686J11229,ATP6V0A1,PPI
GRIN1,LNX1,PPI
CAMK2G,GRIN1,PPI
SNRPA1,LAMP2,PPI
LAMP2,RBBP4,PPI
LYN,LAMP2,PPI
LAMP2,THOC6,PPI
SNCA,LAMP2,PPI
MED25,QKI,PPI
ENC1,NFE2L2,PPI
ACTB,MKL1,PPI
LAMP2,PIAS4,PPI
APP,C1orf115,PPI
CREB3L2,FBXW7,PPI
MAST3,PRKAA2,PPI
ATP6V0A1,MRPL46,PPI
NCF1,SYN1,PPI
CDC34,FBXW7,PPI
PSMA2,FBXW7,PPI
PSMA2,HOMER3,PPI
RBFOX2,DAZAP2,PPI
FBXW7,STOML1,PPI
GRIN1,GRIN2B,PPI
CFLAR,TRAF3,PPI
SIN3B,RNF220,PPI
YWHAZ,TNS1,PPI
MKL1,KDM3A,PPI
RBM11,QKI,PPI
KRT40,DLGAP2,PPI
UBE2O,RNF11,PPI
CFLAR,HSP90AA1,PPI
BIRC2,EAF2,PPI
RAF1,CFLAR,PPI
EAF2,AFF4,PPI
CCAR2,HDAC9,PPI
UBC,VEZF1,PPI
FBXW7,DCLRE1C,PPI
RERE,RBFOX2,PPI
SIN3A,HDAC9,PPI
UBE2QL1,FBXW7,PPI
SIN3B,HCFC1,PPI
BCAR1,TNS1,PPI
ZC3H11A,HDAC9,PPI
NOL4,CTBP1,PPI
NOL4,CTBP2,PPI
APTX,TSPYL2,PPI
SNRPF,HOMER3,PPI
SOCS3,PTK2B,PPI
CFLAR,STUB1,PPI
DUSP14,ISYNA1,PPI
UBE2O,SIRT7,PPI
PARP1,HDAC9,PPI
CIT,HECW2,PPI
UBE2O,WDR26,PPI
TRAF1,UBE2O,PPI
TRAF2,UBE2O,PPI
TRAF3,UBE2O,PPI
SMAD7,UBE2O,PPI
TRIM36,TRAF3IP3,PPI
PNKP,UBE2O,PPI
SMARCA5,BAZ1A,PPI
GRIN1,TIAM1,PPI
DLC1,TNS1,PPI
SMAD7,NEDD4L,PPI
TAL1,SSBP3,PPI
CDC42,BAIAP2,PPI
LDB2,LHX4,PPI
LDB2,SSBP2,PPI
LDB2,RILP,PPI
LDB2,CTBP1,PPI
LDB2,BRCA1,PPI
LDB2,LMO4,PPI
CAV1,PTRF,PPI
HTR2A,GRM2,PPI
NFKB2,FBXW7,PPI
NOTCH1,FBXW7,PPI
BAIAP2L1,SHANK2,PPI
LMO3,LDB2,PPI
LDB2,RASIP1,PPI
LDB2,SSBP3,PPI
LDB2,SSBP3,PPI
LDB2,SSBP3,PPI
TSNAX,LDB2,PPI
SLC11A2,NEDD4L,PPI
SMAD3,NEDD4L,PPI
EPS8,BAIAP2,PPI
HTR2A,PON2,PPI
SDPR,PTRF,PPI
PTRF,PRKCDBP,PPI
HTR2A,NTRK3,PPI
PTK2B,NEDD9,PPI
LDB1,SSBP3,PPI
PTPRS,PTPRN,PPI
PAK3,NCK1,PPI
PAK3,ARHGEF6,PPI
PAK3,MYO6,PPI
CIT,DISC1,PPI
LIN7A,BAIAP2,PPI
BAIAP2,SHANK1,PPI
CDC42,BAIAP2,PPI
C14orf1,BAIAP2,PPI
BAI1,BAIAP2,PPI
SHANK2,BAIAP2,PPI
ATN1,BAIAP2,PPI
ESPN,BAIAP2,PPI
PBX2,BAIAP2,PPI
NCKIPSD,BAIAP2,PPI
LIN7B,BAIAP2,PPI
HNRNPK,QKI,PPI
FUBP3,QKI,PPI
SERF2,QKI,PPI
QKI,USH1C,PPI
QKI,PTBP2,PPI
DAZ4,QKI,PPI
RBFOX2,QKI,PPI
PON2,HTR2A,PPI
QKI,PRMT1,PPI
LRIF1,PRMT1,PPI
LRIF1,MPHOSPH6,PPI
JAK2,PTK2B,PPI
GNAQ,HTR2A,PPI
GNAQ,RGS7,PPI
GNAQ,GRM7,PPI
HTR2A,GNA11,PPI
SEPT11,SEPT9,PPI
SNCA,PTK2B,PPI
FBXW7,HIPK2,PPI
SYN1,SYN3,PPI
CAMK2G,SYN1,PPI
SYN1,PRKACA,PPI
SYN1,PIK3R1,PPI
ERBB2,PTK2B,PPI
SYN2,SYN1,PPI
CRK,SYN1,PPI
PAK3,SYN1,PPI
SYN1,MAPK3,PPI
AP1G1,SYP,PPI
PAK1,SYN1,PPI
SYN1,RASA1,PPI
CDK5,SYN1,PPI
HTR2A,MAP1A,PPI
SATB1,BAZ1A,PPI
SIAH2,SYP,PPI
MKL1,MKL2,PPI
PIG59,HTR2A,PPI
RHOA,CIT,PPI
HTR2A,RPS6KA3,PPI
RRM1,LRIF1,PPI
CDC2,NDE1,PPI
MAPK1,NDE1,PPI
GRM7,TUBA8,PPI
SMAD9,BAZ1A,PPI
MEF2B,TEAD1,PPI
EFS,PTK2B,PPI
SEPT7,SEPT11,PPI
ITGB3,PTK2B,PPI
NPTXR,NPTX1,PPI
TEAD1,VGLL1,PPI
PTPN11,PTK2B,PPI
CALM1,GRM7,PPI
AP4M1,CACNG3,PPI
PLXNB2,ARHGEF12,PPI
LRIF1,WWC1,PPI
EIF6,LRIF1,PPI
TK1,LRIF1,PPI
MCAM,PTK2B,PPI
SNU13,LRIF1,PPI
CBX1,LRIF1,PPI
LRIF1,MOB4,PPI
RB1,ENC1,PPI
DYNLL2,HOMER3,PPI
HBA2,CPM,PPI
NPHP1,PTK2B,PPI
SKP1,FBXW7,PPI
SMAD2,BAZ1A,PPI
PNP,LRIF1,PPI
SNAPIN,RGS7,PPI
GNA13,PTK2B,PPI
LRIF1,BOC,PPI
TEAD1,VGLL2,PPI
TUBG1,NDE1,PPI
ZNF365,NDE1,PPI
JAK1,PTK2B,PPI
