,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene_symbol
5215,0.500413120972222,-1.79993014238095,0.982178220206732,0.33616006385343,0.832443241069437,-5.22221490027905,GINS4
5217,0.260072296722222,-2.71209211890476,1.11137769235022,0.277808609276734,0.832443241069437,-5.10437260284985,CR596412
5218,0.152538935222223,-3.92194585938095,0.629820070013766,0.53497603805634,0.832443241069437,-5.4745816473859,NKX6-3
5219,0.0867855015277783,-4.12232719661905,0.402318962248764,0.691137802772759,0.832443241069437,-5.58091277912078,ANK1
5220,0.506611002166667,1.96143436890476,1.5603350775101,0.132240119671883,0.832443241069437,-4.59896849654917,MYST3
5222,0.279630228833333,0.125814494857143,1.09019029247599,0.286840750010143,0.832443241069437,-5.12458936361247,PLAT
5223,0.240717002027777,-0.789292308523809,0.411008139982628,0.68484413389336,0.832443241069437,-5.57769505152823,IKBKB
5224,0.0955912543055555,1.69434878833333,0.643075244818724,0.526490587191302,0.832443241069437,-5.46698704751207,RPA1
5225,0.068466711694444,5.08602224847619,0.552467220257922,0.585920343676239,0.832443241069437,-5.51585289252892,PRKAR1A
5226,-0.126582787027778,0.340190377285714,-0.603588828140935,0.551982490571708,0.832443241069437,-5.48916179118328,POLB
5227,0.0867855013333334,-2.84343416795238,0.402318961459517,0.691137803345462,0.832443241069437,-5.58091277940998,DKK4
5231,0.0867855015277776,-3.09396677528571,0.402318962285651,0.691137802745993,0.832443241069437,-5.58091277910727,AK023965
5232,0.385082938416667,0.717139479714286,1.36551251466465,0.185206724832494,0.832443241069437,-4.83573788536403,C8orf40
5233,0.0867855014166671,-3.02397023790476,0.402318961802775,0.691137803096384,0.832443241069437,-5.5809127792842,CHRNB3
5236,0.0867855015555555,-3.36084357571429,0.402318962422058,0.691137802647012,0.832443241069437,-5.58091277905728,FAM20A
5237,-0.111883928777778,1.01583579785714,-0.562273821660203,0.579330611346738,0.832443241069437,-5.51091007213733,RNF170
5238,0.144336504416667,2.06701618485714,0.955962540690117,0.348962388408602,0.832443241069437,-5.24451681403051,HOOK3
5239,0.196582994666667,2.61710884547619,1.14719467475168,0.263012640919093,0.832443241069437,-5.06941450675444,FNTA
5240,-0.153482368138889,1.09316608419048,-0.671554771480264,0.508509777538151,0.832443241069437,-5.45015635321487,SGK196
5241,0.242906322083333,1.47818700061905,1.08137400952355,0.290660741252114,0.832443241069437,-5.13289972631526,HGSNAT
5243,0.0867855015277776,-2.86909595361905,0.40231896224876,0.691137802772762,0.832443241069437,-5.58091277912078,POTEA
5244,0.0867855014166668,-1.89292547890476,0.402318961802774,0.691137803096385,0.832443241069437,-5.5809127792842,AK097475
5245,-0.246982830305556,0.551789070333333,-1.19508947268221,0.244144849813025,0.832443241069437,-5.02115030781077,AX746665
5247,0.885316755083334,0.231897133952381,1.68933324203181,0.104572785840607,0.832443241069437,-4.42861807389152,ABCA8
5248,0.0867855015000001,-2.96399960185714,0.402318962246735,0.691137802774232,0.832443241069437,-5.58091277912153,CEBPD
5250,-0.349237923027778,-0.184930091333333,-1.29184470286147,0.209152070739847,0.832443241069437,-4.9184590203344,MCM4
5252,0.642065609194444,-2.48297408761905,1.17239240952285,0.252956289614183,0.832443241069437,-5.04423746981514,EFCAB1
5254,0.0867855013333336,-2.60177156895238,0.402318961459518,0.691137803345462,0.832443241069437,-5.58091277940998,PRAMEF10
5255,-0.0899635010555559,3.572261813,-0.643859847944911,0.525990620145139,0.832443241069437,-5.4665327413803,TOMM20
5256,0.229555288305556,-2.88098914342857,0.845630795397598,0.406409473856293,0.832443241069437,-5.3322754020554,C8orf22
5257,0.0867855014999999,-1.88737211285714,0.402318962246734,0.691137802774232,0.832443241069437,-5.58091277912153,BC042029
5258,0.413790920194445,0.033189187952381,0.989802959638657,0.332497745589295,0.832443241069437,-5.21562533529153,ABCA9
5259,0.293659746861111,-0.48297514547619,0.952873727272292,0.350492271175745,0.832443241069437,-5.24710819081508,SNTG1
5260,-0.593457486666667,-1.42219919947619,-1.65608490685007,0.111190545745288,0.832443241069437,-4.47351383651897,PXDNL
5264,0.0867855013333336,-3.04468851295238,0.402318961459518,0.691137803345462,0.832443241069437,-5.58091277940998,FAM150A
5265,0.0905211418055555,3.15537710052381,0.662597038075451,0.514128114636021,0.832443241069437,-5.45552550744919,RB1CC1
5266,0.0867855014166672,-3.02982490657143,0.402318961764492,0.691137803124163,0.832443241069437,-5.58091277929823,NPBWR1
5267,0.0867855013333335,-2.44982510395238,0.402318961459518,0.691137803345462,0.832443241069437,-5.58091277940998,SNORA14B
5269,0.419995197472222,0.00987651447619047,1.04342632999596,0.307518713716098,0.832443241069437,-5.16798041806834,ABCA6
5274,0.171928327277778,-1.84632460566667,0.788134810357285,0.438609382637745,0.832443241069437,-5.37403386949571,BC039537
5275,0.213782468722222,0.340053389142857,0.837918971998964,0.41063915299733,0.832443241069437,-5.33803605773541,LYPLA1
5278,0.317175769333333,-3.8568312622381,0.927461883935349,0.363250483869914,0.832443241069437,-5.26813563516031,RP1
5279,0.222804911416666,3.0146069722381,1.40328398897683,0.173795601001087,0.832443241069437,-4.79184452109213,RBM34
5280,0.539748678111111,-0.571364851380952,1.55569753576137,0.133338176499567,0.832443241069437,-4.60489700506199,ABCA10
5281,-0.39221237,0.213431489047619,-1.6940672607081,0.103658166900498,0.832443241069437,-4.4221709871613,XKR4
5283,-0.109596961194445,0.635336657142857,-0.524027573403778,0.605237789224498,0.832443241069437,-5.52970926972795,TGS1
5285,0.296107794972222,3.20068752438095,1.41860887951556,0.169328369805462,0.832443241069437,-4.77375452483456,RPS20
