"ID","tmBestGene","tmBestPv","coBestGene","coBestPv","Flag"
"CHD1L","CHD1L",0.282359265646974,"CHD1L",0.00234440481232634,FALSE
"ME2","ME2",0.165855451864959,"ME2",0.00111508510128097,FALSE
"FAT1","FAT1",0.129113436245042,"FAT1",0.0925809530651506,TRUE
"LIPE","LIPE",0.496258549123989,"LIPE",0.73266942806047,TRUE
"ZNF543","",NA,"ZNF543",0.89666250232187,TRUE
"TRIM14","TRIM14",0.323652578001706,"TRIM14",0.000179593854570283,TRUE
"TRPV5","TRPV5",0.248385010708787,"TRPV5",0.97006137812669,TRUE
"CYP2J2","CYP2J2",0.0665151357709415,"CYP2J2",0.4806973691562,TRUE
"HTR2A","HTR2A",0.0608672575490601,"HTR2A",0.973085430460633,TRUE
"ZNF211","ZNF211",0.330154906388192,"ZNF211",0.0780633281916183,TRUE
"ZSWIM4","ZSWIM4",0.299194813825541,"ZSWIM4",0.801777406557066,TRUE
"TCHHL1","TCHHL1",0.708847060696516,"",NA,TRUE
"ABCA4","ABCA4",0.143392941323586,"ABCA4",0.998510184602523,TRUE
"SKA3","SKA3",0.852360437203745,"SKA3",0.203924631281408,TRUE
"IGFL1","IGFL1",0.694394282540179,"IGFL1",0.994166380705738,TRUE
"KRTAP10-5","KRTAP10-5",0.582898323457473,"",NA,TRUE
"LAPTM5","LAPTM5",0.0320310819617441,"LAPTM5",2.654909990859e-09,TRUE
"PCDHGA11","PCDHGA11",0.266969636984225,"PCDHGA11",0.983803711181854,TRUE
"HCLS1","HCLS1",0.000176749142892537,"HCLS1",1.40251928370646e-10,TRUE
"ZBTB20","ZBTB20",0.218670505618826,"ZBTB20",0.00877044655290799,TRUE
"CCDC54","CCDC54",0.199938910202057,"CCDC54",0.981668733433232,TRUE
"CEP290","CEP290",0.0766064478963788,"CEP290",0.00748573649122117,TRUE
"ACSBG2","ACSBG2",0.495093557532358,"ACSBG2",0.937179120935872,TRUE
"CEP192","CEP192",0.0648133730179494,"CEP192",0.00018787211230268,TRUE
"DUOX2","DUOX2",0.225124930052451,"DUOX2",0.706492572814784,TRUE
"MYO9A","MYO9A",0.083036087977798,"MYO9A",0.0174748563497195,TRUE
"ANO7","ANO7",0.188846433198532,"ANO7",0.978681236665651,TRUE
"KCNJ11","KCNJ11",0.0572827168647598,"KCNJ11",0.999975527404439,TRUE
"LRP4","LRP4",0.190479811548048,"LRP4",0.634700372397581,TRUE
"ANKLE1","ANKLE1",0.998037705857807,"ANKLE1",0.114014047071762,TRUE
"XPC","XPC",0.0288198613651186,"XPC",0.00408853499041753,TRUE
"TRPM1","TRPM1",0.269627232976324,"TRPM1",0.887400508496485,TRUE
"DNAH10","DNAH10",0.995633575376201,"DNAH10",0.999883747028077,TRUE
"OR8B2","OR8B2",0.910159975745266,"",NA,TRUE
"DNAH3","DNAH3",0.826257820520589,"DNAH3",0.999903206351601,TRUE
"TUBB1","TUBB1",0.224396367191983,"TUBB1",0.255019269745857,TRUE
"PLIN4","PLIN4",0.178369021032404,"PLIN4",0.98815066923509,TRUE
"DIAPH3","DIAPH3",0.000135767077155518,"DIAPH3",0.100535433453596,TRUE
"PEX16","PEX16",0.755318754552588,"PEX16",0.999998095120782,TRUE
"AKAP13","AKAP13",0.00244796611308192,"AKAP13",0.00391878991965329,TRUE
"FAM151A","FAM151A",0.999202234042593,"FAM151A",0.999962245951735,TRUE
"CERK","CERK",0.025237163371783,"CERK",2.89024324822226e-06,TRUE
"C1orf63","C1orf63",0.342805047357466,"C1orf63",0.0059936596607384,TRUE
"SYNM","SYNM",0.0475511345683563,"SYNM",0.998871041047831,TRUE
"ULK4","ULK4",0.997916117914911,"ULK4",0.225283097595985,TRUE
"ARFGAP3","ARFGAP3",0.110181355341643,"ARFGAP3",0.606537744612695,TRUE
"DHODH","DHODH",0.272946476567023,"DHODH",0.639980695105182,TRUE
"DNAH14","",NA,"DNAH14",0.895775796685326,TRUE
"AIM2","AIM2",0.127226786726744,"AIM2",7.26515106279967e-10,TRUE
"OR10R2","OR10R2",0.742705736473732,"",NA,TRUE
"PGAM5","PGAM5",0.853204038124408,"PGAM5",0.90151962887424,TRUE
"CENPF","CENPF",0.287399794731638,"CENPF",0.0542143425707258,TRUE
"RASAL3","RASAL3",0.26078318640314,"RASAL3",0.000571205829153001,TRUE
"MAP7","MAP7",0.00123976412000394,"MAP7",0.0946836261602884,TRUE
"CPNE7","CPNE7",0.50555817052554,"CPNE7",0.925758017708922,TRUE
"SCNN1D","SCNN1D",0.0844326625730653,"SCNN1D",0.948720523741216,TRUE
"IL22RA1","IL22RA1",0.0124208271746966,"IL22RA1",0.958531929222389,TRUE
"ZBTB8A","ZBTB8A",0.996318906274624,"",NA,TRUE
"TFAP2E","TFAP2E",0.918826689044466,"TFAP2E",0.8873371772751,TRUE
"LRRIQ3","",NA,"LRRIQ3",0.63861054593358,TRUE
"PPIAL4G","",NA,"",NA,TRUE
"SPTA1","SPTA1",0.0219691246451066,"SPTA1",0.435078308924737,TRUE
"OR6K2","OR6K2",0.94020242138188,"",NA,TRUE
"OR6K3","OR6K3",0.870468473089543,"",NA,TRUE
"SLAMF9","SLAMF9",0.586153226307132,"SLAMF9",0.996940797406055,TRUE
"IARS2","IARS2",0.541630993525949,"IARS2",9.93219492008657e-05,TRUE
"OBSCN","OBSCN",0.00288364571700644,"OBSCN",0.999878646128225,TRUE
"ARMC9","ARMC9",0.101335653058073,"ARMC9",0.946753964590288,TRUE
"HDAC11","HDAC11",0.355531970406704,"HDAC11",0.999921163152378,TRUE
"MUC4","MUC4",0.0268002249891685,"MUC4",0.997996606751432,TRUE
"SLC6A19","SLC6A19",0.112284790991081,"SLC6A19",0.964156278766138,TRUE
"ARSK","ARSK",0.436706461356709,"ARSK",0.846175073240382,TRUE
"CDC25C","CDC25C",0.0465339385139813,"CDC25C",0.567627204377191,TRUE
"SH3RF2","",NA,"SH3RF2",0.979745995546063,TRUE
"PPARGC1B","PPARGC1B",0.244849623877942,"PPARGC1B",0.99898649483254,TRUE
"SLC36A3","SLC36A3",0.271821454591799,"",NA,TRUE
"HECA","HECA",0.127264338409698,"HECA",0.261984011891301,TRUE
"SERAC1","SERAC1",0.848862699992159,"SERAC1",0.38953462449543,TRUE
"LRCH4","LRCH4",0.164264180812025,"LRCH4",0.797321700272887,TRUE
"TBXAS1","TBXAS1",0.1616358514479,"TBXAS1",0.000204130502420643,TRUE
"ZNF705G","",NA,"",NA,TRUE
"RP1L1","RP1L1",0.409089204192976,"RP1L1",0.980492517403214,TRUE
