Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_GSM764196.CEL,C_GSM764197.CEL,C_GSM764198.CEL,P_GSM764189.CEL,P_GSM764190.CEL,P_GSM764191.CEL,P_GSM764192.CEL,P_GSM764193.CEL,P_GSM764194.CEL,P_GSM764195.CEL,countP
NSMCE4A,0.278076068,6.778523425,1.540162316,0.167584987,0.643132341,-4.412135573,1.215389322,108.0221515,109.6741799,85.45550867,170.1329045,118.3555096,142.3101671,101.6804084,110.9424278,104.8946441,104.3030203,9.5
EFHD1,-0.294972872,8.216445693,-1.471674674,0.167611968,0.645001713,-4.498157659,-1.226861907,457.3716024,272.3908273,324.4883374,351.8729447,177.8652829,314.0125851,278.8625269,295.2609715,271.4924218,305.1597961,6
KLF11,0.373678689,6.733253707,1.471239964,0.167727468,0.645180167,-4.49857814,1.295652371,101.8332065,64.34593598,106.6835905,142.1283263,68.2458887,150.5423043,154.1008567,91.75831296,101.572361,126.754522,10
HSD11B1L,-0.177554733,5.846713809,-1.471144868,0.167752744,0.645180167,-4.498670113,-1.130965353,63.6147206,57.74105633,67.19081056,52.500115,55.72249865,43.29486505,58.04892645,67.92898802,56.99039762,56.71942838,6
ARMC2-AS1 ,0.146213065,10.87914505,1.470704946,0.167869712,0.645403032,-4.499095542,1.106660779,1609.529373,1841.357134,1822.130763,1786.752765,1829.755834,2362.765326,1809.842422,1941.952891,1932.283507,1982.644786,10
PWAR5,0.699052233,4.997171547,1.470547224,0.167911665,0.645473549,-4.49924805,1.623437938,11.15356564,39.13033901,26.98070537,37.10019115,102.704489,46.44367754,30.2200418,23.23748671,38.95752404,19.36586581,9
RPL11,0.124029196,12.45837337,1.470380917,0.167955911,0.645507483,-4.499408848,1.089774166,5478.956612,5430.942422,5000.950034,5966.270956,5520.192422,6161.686072,5468.681447,5252.792422,5795.70866,6339.851194,10
SAMD13,-0.344215137,5.783672934,-1.469855559,0.168095748,0.64565838,-4.499916732,-1.269460176,62.46275006,72.77141906,60.70091535,60.35795601,30.84326698,52.59612633,43.21318423,60.07101527,44.91006522,81.72211793,10
LOC100507459,0.143217788,3.131064482,1.469393326,0.168218864,0.64574643,-4.500363501,1.104365548,8.522227546,7.452147855,8.5953073,8.83643553,8.712308572,8.816743726,8.908238438,11.02551774,8.59147727,8.518635309,3
PCBP1-AS1,0.188064682,6.135914347,0.562394748,0.168262144,0.640819826,-4.249642325,0.160999368,68.42819333,78.42677851,87.60477938,117.0288474,117.3257845,142.4390596,84.48259719,73.64901268,90.41234099,96.2887581,9.5
PMAIP1,0.526065553,3.812008316,1.627779541,0.168312065,0.641492108,-4.30185458,1.452548859,9.766086424,12.66845997,11.22584028,31.61436425,15.38359355,14.7999792,9.913828118,28.40313836,14.42481811,12.10505836,5
PDZD11,0.206877473,8.11707367,1.469030986,0.168315428,0.645765445,-4.50071366,1.154187389,279.2470263,246.2987645,230.2591422,294.0369228,214.3024116,299.1322225,257.2151538,329.7373752,351.416025,305.9006697,10
ALAS1,0.249175966,9.519302491,1.46902019,0.168318306,0.645765445,-4.500724093,1.188528061,613.7077853,535.3143264,836.9440757,661.125771,659.4322071,874.5638226,632.9173633,771.5783749,922.4314883,958.9191907,10
C6orf48,0.219490768,8.898866128,1.468518563,0.168452068,0.645982365,-4.501208768,1.16432254,467.6340704,396.6911929,425.9555209,648.6531943,438.9731302,499.3578411,445.2172891,388.2346338,526.8268742,600.2563643,10
CYFIP2,-0.291451191,4.7490477,-1.468515154,0.168452978,0.645982365,-4.501212062,-1.223870737,28.21611486,24.77090378,42.52291377,28.2990057,21.26488576,34.32544359,28.98214507,23.73804717,25.17506829,18.59513957,5
EPT1,0.259142532,5.502957675,1.597333774,0.168456051,0.641586017,-4.339658523,1.196936407,59.49249389,57.2854259,51.47632027,70.57053871,63.24849658,81.18410608,58.22046577,73.92082814,58.39571367,63.25018725,8
RAB2B,0.178226148,7.101508302,1.468498013,0.16845755,0.645982365,-4.501228622,1.131491815,134.8079379,115.782517,128.0190538,166.4788864,125.3176049,171.1703806,130.5181311,152.4617372,122.7026444,136.9466996,10
NDUFAF1,-0.36898065,9.18237242,-1.468299464,0.168510521,0.64609046,-4.501420432,-1.291440029,595.5909023,744.3841676,756.8665603,503.1201012,282.6882557,595.9901389,507.538398,799.0592642,545.6941885,696.1696144,10
MIR4458 ,0.3539916,5.752758752,1.468170918,0.168544824,0.64609046,-4.501544607,1.278091921,38.15628947,63.54475029,38.62181024,50.09992509,89.44711726,76.37043497,47.46175573,64.59947628,50.6308974,41.75744058,10
PDXDC1,-0.128573991,5.422036654,-0.078053662,0.16871348,0.644912151,-4.497002145,-0.111544324,65.4536027,58.02415236,61.04269895,58.2577801,83.60565907,47.46468668,56.86204328,44.29534968,35.9749815,36.96805799,5.5
TBXA2R,-0.148688671,5.335370907,-1.467483548,0.168728349,0.646314111,-4.502208494,-1.108561394,45.29808944,40.03962513,45.05527353,36.86832889,38.12219802,39.50665503,42.92703308,34.49278891,36.99301774,46.30956511,4
LOC100130264,-0.142745784,4.431432439,-1.467355895,0.16876245,0.646314111,-4.502331765,-1.104004295,24.20057227,21.08353561,24.23548908,19.04423057,21.89385701,20.68971823,20.75828913,22.10033277,18.57451019,24.06423111,5
SLC39A6,0.332533019,7.461876323,1.47210925,0.168817518,0.644500171,-4.496286432,1.261467651,220.1110452,222.2081838,152.6094675,305.3684272,267.3971235,318.8691793,187.7422974,198.189175,220.6896144,201.0052883,10
ZCCHC5,-0.171863262,4.793543982,-1.46681669,0.16890656,0.646412498,-4.502852391,-1.126512453,28.10056808,33.61697332,28.99836129,28.25685974,27.16216941,23.41137917,30.8267127,22.08737967,26.60772587,30.18308016,7
FNBP4,0.231408586,7.288294556,1.466802836,0.168910264,0.646412498,-4.502865766,1.173980614,137.981774,121.3908741,128.4112064,160.7117878,221.2499465,218.0094691,134.3930587,130.2647077,228.4719552,130.5868146,10
PTPN4,0.301280483,5.176247299,1.499701005,0.168941323,0.643271079,-4.461443064,1.232562729,31.09583589,32.7946506,32.7981312,36.07735737,54.01914403,48.86652359,36.69820927,36.61188491,36.15633834,25.54534883,10
CCAR1,0.257102336,7.621637562,1.466661523,0.168948049,0.646412498,-4.50300219,1.195075973,210.7571465,218.6893764,181.7430903,192.2924218,204.2725371,209.2924218,191.6924218,169.8924218,217.5586607,179.9145704,10
TAOK2,-0.198275108,5.983112995,-1.482444748,0.169057374,0.64308909,-4.483015509,-1.147332482,73.64251862,70.86711599,73.45292763,57.78472246,60.05171731,54.6849207,68.67718459,65.62128908,70.2818608,70.41754727,3
UPRT,0.20474023,6.896357414,1.465835579,0.169169042,0.646458334,-4.503799402,1.152478814,103.2151854,110.8075224,109.720882,112.2148752,149.2222133,162.4020059,121.5085149,110.4015105,100.3712857,125.2667415,10
NQO1,0.754636502,7.304521483,1.46548702,0.169262377,0.646458334,-4.504135755,1.687206435,105.3924219,91.13136959,80.14070726,346.6290064,119.514134,215.1988496,107.8403435,471.679185,152.977958,67.51304703,10
RLIM,0.206775707,6.140601063,1.560913798,0.169270976,0.642365474,-4.384299494,1.154739423,88.69725339,87.78975236,77.40097463,93.5935751,108.8657973,120.4545207,89.08599464,91.42525807,86.61756385,83.57193839,10
GSK3B,0.244632674,7.432307254,1.645613942,0.169372044,0.641851136,-4.278524265,1.186323223,140.0118332,144.6311865,153.2452664,235.7396859,215.1139175,238.5007414,137.3765323,149.9620397,175.0087027,182.8591396,10
TOX,0.170037949,3.173442066,1.464994836,0.169394246,0.646458334,-4.50461062,1.125088079,8.443946122,8.617444193,7.879308833,7.673582043,9.486241116,10.08421632,9.528821115,10.44300136,10.73952067,7.94358594,3
