Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_JK C 05-07.CEL,C_JK C 12-07.CEL,C_JK C 35-96.CEL,C_JK C 39-97.CEL,C_JK CC2.CEL,C_JK CC4.CEL,P_LC 04-06.CEL,P_LC 299-99.CEL,P_LC 96-06.CEL,countP
SESTD1,-0.383910388,4.334147366,-1.874630423,0.092426728,0.504088841,-4.451289932,-1.304873894,32.28884177,21.454697,17.77007782,23.23190965,17.16297873,19.95488545,14.07244416,18.1941967,15.70579104,9
PWWP2B,-0.764370815,3.147762787,-1.873130225,0.092650555,0.504608689,-4.453361859,-1.698629035,6.070526592,12.66961225,9.844893482,10.9737938,19.49419357,8.632973627,4.554173055,12.04227736,4.39944419,6
PES1,-0.342503881,3.276013829,-1.872426861,0.09275567,0.504733678,-4.454333044,-1.267955296,8.345078389,12.44884721,9.792094974,11.32189427,8.526890731,13.52488214,8.292309958,9.187026247,7.421247539,3
RPS7,-0.400568055,8.088497549,-1.87210266,0.092804159,0.504791092,-4.454780642,-1.320027564,374.4695277,338.6759807,249.6142234,215.4643123,280.6239685,370.2354287,186.2831718,225.1597489,275.9375267,9
CSNK2A2,-0.74370595,3.889314468,-1.870181485,0.093091981,0.505028617,-4.457432398,-1.67447165,12.57369477,20.81164865,22.06286537,20.39535976,17.96461962,14.03384875,9.519564249,22.86953198,5.330537559,7
HRASLS5,-0.306906247,1.116208882,-1.869950276,0.093126676,0.505028617,-4.457751456,-1.237052087,2.36659376,2.808661551,2.424182284,2.012707315,1.800086569,2.720117646,1.700723625,1.96825438,1.988593982,4
NDUFB11,-0.672667611,5.20698158,-1.869352096,0.093216494,0.505115144,-4.458576842,-1.594017658,31.00130961,71.31731247,53.60024603,68.45747104,27.50848847,28.91363804,22.77493977,34.79407568,25.02788385,7
GNG10,0.440251606,6.355653917,1.869008053,0.093268189,0.505131327,-4.459051513,1.35684094,81.06075173,108.3898506,64.38621757,69.27086,73.95337019,56.53224619,72.86855753,107.6916733,128.8436425,9
EPG5,0.108485161,2.611425457,0.393324647,0.093347404,0.505309379,-4.459778317,1.078095635,8.292309958,7.634427308,6.307011696,8.123980604,5.347449534,12.70361046,7.868316144,11.09740351,6.494121173,9
ANKIB1,-0.093986423,4.25153573,0.07077642,0.095745878,0.505643373,-4.475547686,-0.091614761,17.47263436,18.68464152,25.18740337,26.62505126,20.50460481,16.10507453,20.29772499,24.51620722,20.7262453,7
KHDC1,-0.503679509,2.440375608,-1.86765388,0.093471927,0.50568944,-4.460919499,-1.417825035,5.110118892,7.564613478,4.296740512,10.3866004,5.753536219,5.178901913,3.517864873,4.807109411,4.704032734,3
PIN1P1,-0.308721113,2.529447829,-1.867172482,0.093544453,0.50568944,-4.461583419,-1.23860924,6.136685761,5.67723806,6.061422799,6.808383579,6.439960071,6.136685761,5.051827818,6.545609744,3.793601666,4
RASGEF1A,0.664535431,5.16316598,1.867076031,0.093558991,0.505718026,-4.461716431,1.585057779,18.1804465,50.87000052,37.68845495,28.18429909,46.91339792,18.27839467,55.81586537,47.38559389,43.70083177,9
TPST2,-0.761615396,2.699426081,-1.866753897,0.09360756,0.505880531,-4.462160654,-1.695387901,6.019304244,6.034828172,5.856699938,4.986745886,11.3262996,17.96461962,3.305275464,5.727047081,5.036723294,3
GSS,-0.776146155,4.073788573,-1.893158714,0.096349592,0.505981226,-4.416815136,-1.722174931,15.22504308,35.07454493,28.34336603,26.86033318,17.60600334,13.28336831,9.949220166,22.16673546,9.700371693,7.5
IFT122,-0.231091856,2.884958666,-1.866407119,0.093659871,0.506113207,-4.462638826,-1.173722907,7.502994487,7.123375402,7.270883993,8.258692813,8.731558439,7.986839864,6.73972134,5.849614751,7.421247539,4
EID1,-0.800614088,4.468469542,-1.865978334,0.09372459,0.506121874,-4.463230028,-1.741842389,44.38500763,53.60056921,32.68968775,40.86632163,15.92801322,17.87416293,16.55652471,17.14446887,15.43455996,9
POP4,-1.105536049,3.961940791,-1.86608194,0.093708948,0.506121874,-4.463087183,-2.151788153,13.67059272,42.12663932,26.71100311,50.28855658,8.848531499,9.687292426,7.441000013,14.00953295,7.840343148,4
ARPC1B,-0.62800517,3.709277513,-1.864084194,0.094010984,0.506408923,-4.465840962,-1.545426637,15.59467993,27.31627473,10.19275015,10.17796739,14.33161996,18.88312615,6.850473995,10.25496948,13.33704449,4
GPR161,0.48787898,2.940097237,1.99914779,0.107253175,0.50645107,-4.236299644,1.411162126,6.6312654,6.87084724,6.432825084,6.503892493,6.229986099,9.052637767,11.05671532,10.14302638,9.288617402,4
LOC100506990,-1.180886342,5.402197635,-1.863104505,0.094159434,0.506709355,-4.467190964,-2.267160208,172.3416704,41.40264245,19.83401933,27.27770101,66.49308233,114.5228863,27.22799927,25.60219734,21.10635313,9
WSB1,-0.947161993,4.868101209,-1.863117065,0.094157529,0.506709355,-4.467173658,-1.928076098,84.95164997,37.72818148,34.41419333,18.884143,37.50468306,77.31742402,24.1813731,18.63795971,15.43177395,9
AIFM3,-0.641931287,3.312877929,-1.860572899,0.094544055,0.50674831,-4.470678136,-1.560416639,6.672264812,16.70579098,11.11350987,14.99602381,15.49419195,8.147011079,6.370660115,11.26438182,5.616347131,5
BAG2,0.817648732,2.008647416,1.862406142,0.094265389,0.50674831,-4.468153123,1.762531121,4.538576027,2.628346679,2.575919156,2.409339202,2.265019953,8.150808284,9.396278468,5.41300054,3.97987111,4
RP11-124L9.5,0.964658203,3.412042489,1.860628148,0.094535646,0.50674831,-4.470602054,1.951601102,12.81757295,3.4554098,6.80830629,6.838649095,11.32335782,16.35651248,24.80566163,8.225363716,22.51425547,7
SLC25A1,-0.968494128,3.261851629,-1.862121885,0.094308547,0.50674831,-4.468544711,-1.956797042,6.262528059,30.11477511,13.07623211,20.46731852,10.64377691,5.551546922,6.096618059,8.28709672,4.562076703,3
ZNF468,0.410944357,2.322474561,1.860071838,0.094620354,0.50674831,-4.471368091,1.329555828,3.801081729,4.690129516,3.879694615,6.537809716,5.192932058,3.772761776,4.724929598,7.671532867,6.10294119,8
LOC283713 ,0.989951412,3.28136494,1.858676841,0.094833079,0.507167751,-4.473288583,1.9861181,3.144920135,13.33201313,9.875638437,15.92801322,9.20914475,3.52593304,13.1670189,20.65355272,13.33201313,7
ANGPT2,-0.51125056,1.445971155,-2.052048631,0.111261477,0.507382233,-4.149008363,-1.427144873,2.454078999,3.12897743,2.96675193,2.255442566,5.404601512,3.097397559,2.022992622,2.373723162,2.09593208,3.5
ADH1B,-0.782958874,1.888207665,-2.06722247,0.114070677,0.507464113,-4.122030479,-1.805067142,5.864736996,4.130807603,6.476232002,2.409862247,5.016040112,4.457304049,2.160141176,3.891971121,2.260390366,5.5
TRIM13,-0.74347856,3.688268085,-1.857349705,0.09503587,0.50752942,-4.475115096,-1.674207749,14.00953295,14.00953295,18.42955497,23.63031472,14.59550037,8.467251737,6.160686234,9.825051562,7.419774221,8
EDNRA,-0.844471258,2.026251405,-1.856592355,0.095151777,0.507618562,-4.47615718,-1.795606542,3.16591179,3.589907672,12.91853842,4.071132067,8.189784473,3.008942807,2.492813912,2.87528418,2.924787797,6
