Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_C05.CEL,C_C08.CEL,C_C10.CEL,P_Sp14.CEL,P_Sp20.CEL,P_Sp25.CEL,P_Sp26.CEL,P_Sp29.CEL,P_Sp31.CEL,P_Sp33.CEL,countP
VPS72,0.159773067931086,6.14029396927018,0.671711257990767,0.515978345691297,0.99997228760791,-4.65443650551359,1.11711140561703,66.4150703900382,78.9894208235789,53.015127917446,109.448562949526,59.276738097384,81.2660650975062,83.8098461092367,61.6281493376494,50.3329290829226,79.9763026440385,6
VPS8,-0.144233781487189,5.60314998887863,-0.286330011573505,0.780081683967564,0.99997228760791,-4.69065957158129,-1.10514355325451,38.9179408642342,83.0519404411615,43.8357328569509,114.764519477927,45.6274636438778,90.9687993036734,29.7648960061079,33.2203036395397,20.2489373165112,54.5001406787256,7
VRK1,0.267237061496023,5.44239114108929,0.457973983567474,0.656112259097721,0.99997228760791,-4.67787432400089,1.20350076720274,36.5809070373948,39.5558785233664,38.5093386723753,158.988143559574,34.4078813691901,108.995852045472,32.2349326874617,21.1485333352487,23.2642864794592,45.8636749842942,3
VRK3,-0.0962910660098896,4.15035435305248,-0.327584168583497,0.749532703643323,0.99997228760791,-4.68810325317636,-1.06902164626649,19.7510055767259,21.9395192948656,14.8661594848803,22.5500255220842,15.2542904215279,27.3171229692258,15.7557723982659,11.6128013605431,11.6128013605431,24.2386664722283,7
VSIG1,-0.109441985303588,2.27886762343442,-0.947880876425604,0.364063184886278,0.99997228760791,-4.61336721860435,-1.07881088651121,5.07037037669886,5.49609801340092,4.80965086248959,4.62319893131771,4.88257696927567,4.41600358904349,4.99988489729832,4.54383634374183,4.69230021586545,5.08718847009846,6
VSNL1,0.532441795640084,8.33494799839449,0.660525211677534,0.522853600154575,0.99997228760791,-4.65585636531405,1.4463751493322,283.065070123755,292.149621793242,187.554060837744,2522.9169458363,634.855620037977,446.185439949063,167.321958465724,138.129405836843,124.912013777009,385.069310519055,7
VSTM2A,-0.843189880332532,5.51044593666128,-0.903343490810705,0.388446654415492,0.99997228760791,-4.62007192003135,-1.79409026915984,86.7224971988256,117.428368728731,38.8514750726176,155.705130639724,45.6260036686575,151.604617399994,9.63521717820391,19.0285870307294,9.05165086110872,106.857440205385,7.5
VSTM2A /// VSTM2A-OT1,-0.0522215973620383,3.03432921885461,-0.191648104099115,0.851598674336601,0.99997228760791,-4.69525461185911,-1.03686035011037,7.45685926437396,9.91447282586908,8.02526390179561,11.7722226180843,6.96544950629703,13.2560970284985,7.24167110471213,5.85474731229311,5.78200615374799,8.6160344986424,4
VSTM4,-0.00361697082264387,4.93126696198655,-0.0278429593300013,0.978298835256406,0.99997228760791,-4.69893021696316,-1.0025102385139,30.1005117439457,29.3810411049343,32.2866712547011,33.6120022352692,27.6819925677711,30.5518776443568,32.9836160093669,31.1549046569175,32.5879291211583,25.7227441020251,4
VTA1,-0.0994298203802657,5.70266966491565,-0.239514132353555,0.815223538272161,0.99997228760791,-4.69315479880007,-1.07134996164092,59.0344933998606,69.9377846096845,42.8168786243971,122.10560163239,42.0383019111688,125.135821525598,19.1802319426318,24.892268897081,25.439707187191,87.2108744194156,10
VTI1A,0.0590328001868685,4.11975857181328,0.330348706643003,0.408751147764172,0.99997228760791,-4.62766398380762,1.04176711368627,17.0149177729064,16.950816229682,20.5677362501593,24.5297223578028,17.9941755409404,14.4155794124721,25.8310407796612,16.7348217933668,20.369537511037,18.3754986160124,4
VTI1B,0.505528768594466,5.46886801628458,0.996972458702466,0.340744379913212,0.99997228760791,-4.60497138375779,1.41964358076064,36.7207907464409,39.7351395922915,28.5244053583742,125.715070123755,76.1353634965836,94.4470963126528,24.1219024939721,29.3172032308614,30.4502093960709,35.8379391912773,5
