ensembl_gene_id,hgnc_symbol,C_GSM329660.CEL,C_GSM329663.CEL,C_GSM329664.CEL,C_GSM329666.CEL,C_GSM329667.CEL,C_GSM329670.CEL,C_GSM329672.CEL,C_GSM329674.CEL
ENSG00000184304,PRKD1,110.6774265,59.51971219,47.80790713,52.0203053,61.03641007,46.15372883,79.36414707,70.87319815
ENSG00000117360,PRPF3,137.8700586,122.3568945,110.1853357,85.99418376,82.84956526,117.8886695,97.47242866,84.4690452
ENSG00000197746,PSAP,946.1574149,2135.054127,900.1192407,2088.524993,820.1280703,1481.919481,1874.717301,1917.801695
ENSG00000159352,PSMD4,1032.858696,942.1635554,840.1474075,1185.945677,865.9688837,536.9416595,943.5933312,739.6727666
ENSG00000163636,PSMD6,697.9871318,1049.257558,370.0553811,830.1174803,647.277353,880.2097135,805.7806998,740.4277576
ENSG00000163629,PTPN13,89.53462099,90.21620348,62.6623835,44.17714931,63.08797258,71.33188471,71.275595,78.3216385
ENSG00000141542,RAB40B,1054.996091,1094.987278,689.298027,962.1750002,1033.510188,1225.392999,924.4526814,1467.313481
ENSG00000138698,RAP1GDS1,1044.406689,1001.23822,321.8039287,1263.725617,680.0230395,1013.522258,914.2609582,1639.087006
ENSG00000162775,RBM15,313.4088036,206.5752353,200.6082511,190.686697,291.6571752,375.7333261,205.9390967,189.5895672
ENSG00000113269,RNF130,481.4474956,648.2114375,382.9913821,358.9866332,421.2600566,336.1157273,602.6458183,424.7109749
ENSG00000114125,RNF7,170.9026962,182.95127,109.6217381,156.6903858,159.2929472,142.5878056,161.3047621,266.3587112
ENSG00000169855,ROBO1,434.2203635,249.1331125,235.5119716,284.6084719,256.9516353,248.2345354,311.7025,411.1613951
ENSG00000197958,RPL12,1969.034407,2498.938115,2359.474738,1586.651948,1632.912541,1375.519043,1989.855419,1757.852271
ENSG00000174748,RPL15,141.5629285,188.4349951,127.4349082,178.6265496,154.6143274,147.9563631,156.3486644,157.1438423
ENSG00000182899,RPL35A,2480.149993,2790.635364,2640.944217,2447.92343,2370.958623,1908.399993,2916.494359,2377.313581
ENSG00000165502,RPL36AL,875.6544712,805.1578822,704.676622,835.5039862,542.8388942,675.3416701,718.6916595,671.5964863
ENSG00000145592,RPL37,4728.291448,4692.011962,4945.953105,3800.09512,4215.20079,2730.813833,5030.23216,3981.627019
ENSG00000177600,RPLP2,2243.838888,2666.191659,2217.553903,1941.590148,2107.165901,1805.774993,2302.023739,1934.237617
ENSG00000168028,RPSA,5809.98782,6360.414586,5377.155585,5180.524993,5490.941659,3474.059131,5349.49093,4923.952106
ENSG00000136444,RSAD1,414.8109623,253.9362826,268.1933974,334.6499928,265.5866048,365.0685756,343.3930934,280.9475818
ENSG00000183207,RUVBL2,372.3244806,502.706575,352.4416111,524.4686472,429.9113659,446.9310366,426.3999928,559.1427845
ENSG00000105711,SCN1B,842.3785077,768.2237243,707.8999928,1319.738097,1250.638991,863.4740688,1094.108153,336.0887167
ENSG00000142864,SERBP1,680.3923161,597.0948868,589.6133616,503.1126251,547.7585126,575.8230125,378.7036017,419.9964609
ENSG00000099995,SF3A1,216.9774747,332.556708,239.5836801,409.6923513,362.6924284,321.601863,332.8179126,435.3638984
ENSG00000115524,SF3B1,363.9011292,394.7749928,396.811413,305.120671,356.0751603,373.1553897,304.6021889,270.4987593
ENSG00000039123,SKIV2L2,277.4416597,291.5185844,156.8365205,244.1661635,139.3418578,347.3059665,272.9279566,232.5930616
ENSG00000117394,SLC2A1,227.8646724,305.9018769,238.3132657,191.9220806,177.590163,156.3505422,264.1588706,166.0295791
ENSG00000174446,SNAPC5,718.4595586,525.803684,385.7206074,777.5388872,471.7300347,472.496822,682.7532163,573.7280497
ENSG00000139343,SNRPF,269.1916602,281.1412303,203.5741719,264.82127,197.4317142,294.3863122,243.5919146,228.6726203
ENSG00000159140,SON,687.9200347,632.0249928,633.2308562,522.9280693,663.0614849,531.4881988,441.7669254,566.3686392
ENSG00000113140,SPARC,747.5100007,874.8552686,746.3025347,605.3518194,539.9221277,427.1531803,1031.610084,1271.393535
ENSG00000153037,SRP19,44.0157763,37.20942414,45.47312735,34.05358032,50.18871861,45.00918294,28.56488653,25.75050757
ENSG00000153037,SRP19,795.4117583,611.4181326,322.1883584,454.6328625,522.0750604,576.7061602,526.9129664,458.305934
ENSG00000116754,SRSF11,243.281225,116.1247729,181.0848893,76.4709835,116.4027778,115.7929266,105.0306172,96.84142905
ENSG00000157216,SSBP3,487.7039447,567.1916595,390.8655739,538.8545299,407.469141,537.3008237,587.2274198,553.8551351
ENSG00000168610,STAT3,645.7793501,1408.778043,1362.791381,760.2019671,1229.417632,974.47376,883.8391205,685.8711455
ENSG00000117632,STMN1,427.4948518,391.621138,193.7710972,572.9618622,372.7841356,357.605715,468.0249928,802.4742608
ENSG00000164828,SUN1,564.8982072,486.7162997,326.7958261,386.5711542,307.180821,479.3806204,523.7309676,604.7376282
ENSG00000132718,SYT11,1480.44215,1671.670826,1456.447785,2101.002118,1391.227891,1473.920248,1710.376133,2453.046982
ENSG00000055208,TAB2,222.5667569,390.5579947,129.66745,145.0155582,105.0371947,233.2546668,303.8939098,246.8946531
ENSG00000120948,TARDBP,476.0369481,557.7709369,257.3999839,339.4453245,311.8469338,400.4256132,329.5236145,341.8511103
ENSG00000113407,TARS,274.9488374,271.4566248,134.8013577,219.7596425,213.5410556,288.4454696,202.895399,291.6760684
ENSG00000105254,TBCB,1504.941659,1932.376148,1320.562191,1749.089584,1489.691659,1551.316659,1889.233326,2240.086179
ENSG00000196628,TCF4,1620.894051,972.0945872,1787.82311,1120.591555,1542.009707,778.7132681,1059.423516,1165.441659
ENSG00000166848,TERF2IP,2370.775886,2419.908051,1266.524993,2181.101951,1883.647222,2263.879159,2109.466917,2003.839322
ENSG00000169908,TM4SF1,629.3690281,782.9023228,232.8342421,209.6019281,875.1135157,326.7548084,539.289613,200.468377
ENSG00000070269,TMEM260,157.7126845,121.1379699,79.70002399,80.55026515,91.13672983,86.21723653,84.91512371,107.4418539
ENSG00000170876,TMEM43,316.1529376,413.4925965,207.474846,287.0290608,193.3512867,385.4416595,345.8426523,293.8310963
ENSG00000139921,TMX1,38.45506797,34.11692193,19.16748279,28.56251746,23.09902891,73.55404823,48.01231416,45.04234837
