"","corRvec"
"ATP5C1:CREB3L2",-0.5
"ATP5E:CREB3L2",-1
"AURKAIP1:CREB3L2",-0.5
"BBIP1:CREB3L2",-0.5
"BGN:CREB3L2",1
"BPTF:CREB3L2",-0.5
"BTN3A3:CREB3L2",0.5
"C14orf1:CREB3L2",-0.5
"C1orf61:CREB3L2",-0.5
"C6orf106:CREB3L2",0.5
"CCDC53:CREB3L2",-0.5
"CCDC93:CREB3L2",0.5
"CCT3:CREB3L2",-0.5
"CDC16:CREB3L2",-0.5
"CDH11:CREB3L2",1
"CELF1:CREB3L2",-1
"CEP170B:CREB3L2",-0.5
"CIAPIN1:CREB3L2",-1
"CLCN5:CREB3L2",-0.5
"CLNS1A:CREB3L2",0.5
"COA3:CREB3L2",-1
"COL4A1:CREB3L2",0.5
"COPG1:CREB3L2",0.5
"ACTN1:CREG1",0.5
"ADGRF5:CREG1",-0.5
"AHCTF1:CREG1",0.5
"ALDH3A2:CREG1",0.5
"ALPK1:CREG1",0.5
"ANKRD17:CREG1",-1
"ANXA1:CREG1",-0.5
"AP2S1:CREG1",-0.5
"ARHGAP29:CREG1",-0.5
"ARIH1:CREG1",-0.5
"ATM:CREG1",-1
"ATP2C1:CREG1",1
"ATP5C1:CREG1",-0.5
"ATP5E:CREG1",0.5
"AURKAIP1:CREG1",1
"BBIP1:CREG1",1
"BGN:CREG1",-0.5
"BPTF:CREG1",-0.5
"BTN3A3:CREG1",-1
"C14orf1:CREG1",1
"C1orf61:CREG1",-0.5
"C6orf106:CREG1",-1
"CCDC53:CREG1",1
"CCDC93:CREG1",0.5
"CCT3:CREG1",1
"CDC16:CREG1",1
"CDH11:CREG1",-0.5
"CELF1:CREG1",0.5
"CEP170B:CREG1",1
"CIAPIN1:CREG1",0.5
"CLCN5:CREG1",-0.5
"CLNS1A:CREG1",0.5
"COA3:CREG1",0.5
"COL4A1:CREG1",-1
"COPG1:CREG1",-1
"CREB3L2:CREG1",-0.5
"ACTN1:CSRP1",1
"ADGRF5:CSRP1",-1
"AHCTF1:CSRP1",-0.5
"ALDH3A2:CSRP1",-0.5
"ALPK1:CSRP1",1
"ANKRD17:CSRP1",-0.5
"ANXA1:CSRP1",0.5
"AP2S1:CSRP1",-1
"ARHGAP29:CSRP1",-1
"ARIH1:CSRP1",-1
"ATM:CSRP1",-0.5
"ATP2C1:CSRP1",0.5
"ATP5C1:CSRP1",-1
"ATP5E:CSRP1",-0.5
"AURKAIP1:CSRP1",0.5
"BBIP1:CSRP1",0.5
"BGN:CSRP1",0.5
"BPTF:CSRP1",-1
"BTN3A3:CSRP1",-0.5
"C14orf1:CSRP1",0.5
"C1orf61:CSRP1",-1
"C6orf106:CSRP1",-0.5
"CCDC53:CSRP1",0.5
"CCDC93:CSRP1",1
"CCT3:CSRP1",0.5
"CDC16:CSRP1",0.5
"CDH11:CSRP1",0.5
"CELF1:CSRP1",-0.5
"CEP170B:CSRP1",0.5
"CIAPIN1:CSRP1",-0.5
"CLCN5:CSRP1",-1
"CLNS1A:CSRP1",1
"COA3:CSRP1",-0.5
"COL4A1:CSRP1",-0.5
"COPG1:CSRP1",-0.5
"CREB3L2:CSRP1",0.5
"CREG1:CSRP1",0.5
"ACTN1:CST3",-0.5
"ADGRF5:CST3",0.5
"AHCTF1:CST3",-0.5
"ALDH3A2:CST3",-0.5
"ALPK1:CST3",-0.5
"ANKRD17:CST3",1
"ANXA1:CST3",0.5
"AP2S1:CST3",0.5
"ARHGAP29:CST3",0.5
"ARIH1:CST3",0.5
"ATM:CST3",1
"ATP2C1:CST3",-1
"ATP5C1:CST3",0.5
"ATP5E:CST3",-0.5
"AURKAIP1:CST3",-1
"BBIP1:CST3",-1
"BGN:CST3",0.5
"BPTF:CST3",0.5
"BTN3A3:CST3",1
"C14orf1:CST3",-1
"C1orf61:CST3",0.5
"C6orf106:CST3",1
"CCDC53:CST3",-1
"CCDC93:CST3",-0.5
"CCT3:CST3",-1
"CDC16:CST3",-1
"CDH11:CST3",0.5
"CELF1:CST3",-0.5
"CEP170B:CST3",-1
"CIAPIN1:CST3",-0.5
"CLCN5:CST3",0.5
"CLNS1A:CST3",-0.5
"COA3:CST3",-0.5
"COL4A1:CST3",1
"COPG1:CST3",1
"CREB3L2:CST3",0.5
"CREG1:CST3",-1
"CSRP1:CST3",-0.5
"ACTN1:CTDSP2",-1
"ADGRF5:CTDSP2",1
"AHCTF1:CTDSP2",0.5
"ALDH3A2:CTDSP2",0.5
"ALPK1:CTDSP2",-1
"ANKRD17:CTDSP2",0.5
"ANXA1:CTDSP2",-0.5
"AP2S1:CTDSP2",1
"ARHGAP29:CTDSP2",1
"ARIH1:CTDSP2",1
"ATM:CTDSP2",0.5
"ATP2C1:CTDSP2",-0.5
"ATP5C1:CTDSP2",1
"ATP5E:CTDSP2",0.5
"AURKAIP1:CTDSP2",-0.5
"BBIP1:CTDSP2",-0.5
"BGN:CTDSP2",-0.5
"BPTF:CTDSP2",1
"BTN3A3:CTDSP2",0.5
"C14orf1:CTDSP2",-0.5
"C1orf61:CTDSP2",1
"C6orf106:CTDSP2",0.5
"CCDC53:CTDSP2",-0.5
"CCDC93:CTDSP2",-1
"CCT3:CTDSP2",-0.5
"CDC16:CTDSP2",-0.5
"CDH11:CTDSP2",-0.5
"CELF1:CTDSP2",0.5
"CEP170B:CTDSP2",-0.5
"CIAPIN1:CTDSP2",0.5
"CLCN5:CTDSP2",1
"CLNS1A:CTDSP2",-1
"COA3:CTDSP2",0.5
"COL4A1:CTDSP2",0.5
"COPG1:CTDSP2",0.5
"CREB3L2:CTDSP2",-0.5
"CREG1:CTDSP2",-0.5
"CSRP1:CTDSP2",-1
"CST3:CTDSP2",0.5
"ACTN1:CTNNB1",-0.5
"ADGRF5:CTNNB1",0.5
"AHCTF1:CTNNB1",1
"ALDH3A2:CTNNB1",1
"ALPK1:CTNNB1",-0.5
"ANKRD17:CTNNB1",-0.5
"ANXA1:CTNNB1",-1
"AP2S1:CTNNB1",0.5
"ARHGAP29:CTNNB1",0.5
"ARIH1:CTNNB1",0.5
"ATM:CTNNB1",-0.5
"ATP2C1:CTNNB1",0.5
"ATP5C1:CTNNB1",0.5
"ATP5E:CTNNB1",1
"AURKAIP1:CTNNB1",0.5
"BBIP1:CTNNB1",0.5
"BGN:CTNNB1",-1
"BPTF:CTNNB1",0.5
"BTN3A3:CTNNB1",-0.5
"C14orf1:CTNNB1",0.5
"C1orf61:CTNNB1",0.5
"C6orf106:CTNNB1",-0.5
"CCDC53:CTNNB1",0.5
"CCDC93:CTNNB1",-0.5
"CCT3:CTNNB1",0.5
"CDC16:CTNNB1",0.5
"CDH11:CTNNB1",-1
"CELF1:CTNNB1",1
"CEP170B:CTNNB1",0.5
"CIAPIN1:CTNNB1",1
"CLCN5:CTNNB1",0.5
"CLNS1A:CTNNB1",-0.5
"COA3:CTNNB1",1
"COL4A1:CTNNB1",-0.5
"COPG1:CTNNB1",-0.5
"CREB3L2:CTNNB1",-1
"CREG1:CTNNB1",0.5
"CSRP1:CTNNB1",-0.5
"CST3:CTNNB1",-0.5
"CTDSP2:CTNNB1",0.5
"ACTN1:CXorf40B",1
