"Ensembl_ID","hgnc_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","1-TDPneg","1-TDPpos","2-TDPneg","2-TDPpos","3-TDPneg","3-TDPpos","4-TDPneg","4-TDPpos","5-TDPneg","5-TDPpos","6-TDPneg","6-TDPpos","7-TDPneg","7-TDPpos"
"ENSG00000198431","TXNRD1",2153.25899972064,-0.042070128206053,0.126803756385716,-0.331773516851369,0.74006028315739,0.932006346975319,1425,1487,2285,2861,2551,2381,2934,3673,2149,1847,2262,2152,1610,1695
"ENSG00000155066","PROM2",220.447645801837,-0.0586032136261098,0.176640102368421,-0.331766189219479,0.74006581668448,0.932006346975319,165,194,232,321,246,161,205,231,315,325,240,212,155,159
"ENSG00000105141","CASP14",2.96231621774328,-0.0938266507112042,0.282834130927089,-0.33173736989823,0.740087579984473,NA,0,6,4,0,0,3,0,0,2,2,1,5,14,0
"ENSG00000251809","RN7SKP14",4.50162662600765,-0.111204937429336,0.335228073549207,-0.331729190374664,0.740093756900166,NA,1,1,5,5,1,9,0,0,1,3,10,10,14,1
"ENSG00000074317","SNCB",684.461862425976,-0.0610896818195739,0.184155333899847,-0.331729092640877,0.74009383070571,0.932006346975319,701,580,587,670,891,1068,892,1089,570,509,608,573,541,500
"ENSG00000152484","USP12",2598.58579769743,0.0435196617386927,0.13120054392356,0.331703363699835,0.740113260492464,0.932006346975319,1854,2274,3180,4249,2657,2787,3069,3649,2885,2594,2671,2448,1511,1874
"ENSG00000236136","ADORA2BP1",3.80902829712165,0.11637717850882,0.350860884475756,0.331690375468063,0.740123068909908,NA,4,5,3,12,1,2,0,2,4,0,4,7,6,3
"ENSG00000067606","PRKCZ",4611.22773690205,0.0594463101845678,0.179292023345705,0.331561377217242,0.740220487750828,0.932006346975319,5490,5490,4282,5033,4323,3487,3803,5496,5346,6022,4337,4561,2995,4129
"ENSG00000152086","TUBA3E",46.4566666691562,-0.111155533357273,0.335279186074795,-0.331531266997517,0.74024322743968,0.932006346975319,70,57,23,37,87,88,51,78,24,12,22,15,48,34
"ENSG00000106009","BRAT1",179.44923578319,-0.075281129126685,0.227074886512911,-0.331525560940463,0.740247536765003,0.932006346975319,111,97,152,223,296,205,294,251,173,182,99,123,162,223
"ENSG00000223929","MIR4432HG",5.22262679765077,0.118300613567899,0.356896172397893,0.331470670512009,0.740288991501082,NA,1,2,3,6,10,10,0,1,3,4,5,11,9,7
"ENSG00000260388","LINC00562",117.32107944135,0.0813422775495961,0.245398196910346,0.331470559171687,0.740289075589071,0.932006346975319,73,78,104,164,74,93,192,221,143,89,68,90,133,176
"ENSG00000047621","C12orf4",2534.18560729015,-0.0582900506847366,0.175879564515457,-0.331420258205233,0.740327064903028,0.932006346975319,1854,1907,3267,3943,2203,1968,2315,2610,3965,3186,2987,2811,1442,2074
"ENSG00000107771","CCSER2",10449.1953764483,-0.029290583231361,0.0883858493681594,-0.331394487248236,0.740346528412124,0.932006346975319,7728,8070,11926,14332,9443,10039,14485,13336,11361,10691,10704,10897,7778,9691
"ENSG00000102053","ZC3H12B",3866.58694422457,-0.046259418271005,0.139597255413232,-0.331377706059256,0.740359202490441,0.932006346975319,2995,2847,3359,4135,3528,3600,3803,4904,4085,4275,4240,4362,4620,3957
