Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold.Change,C_JK.C.05.07.CEL,C_JK.C.12.07.CEL,C_JK.C.35.96.CEL,C_JK.C.39.97.CEL,C_JK.CC2.CEL,C_JK.CC4.CEL,P_LC.04.06.CEL,P_LC.299.99.CEL,P_LC.96.06.CEL
DDX59,-0.631476048,2.36393086,-1.977086514,0.078287047,0.487621936,-4.308268303,-1.549149147,8.323970487,6.923330106,5.158121636,6.00762541,4.638743931,5.390519832,2.090191264,6.130067909,4.43613252
RSPH1,-1.835024744,3.948256631,-1.976721322,0.078333609,0.487621936,-4.308783126,-3.56777527,140.0340333,13.90875824,4.959248092,10.22590655,27.80432323,62.70542295,8.365353966,6.150320998,5.616347131
CAPS2,-0.745562774,1.639888794,-1.976421544,0.07837185,0.487621936,-4.309205707,-1.67662817,8.893520168,2.765002621,2.489237636,3.008942807,2.886037937,4.844581286,2.066134133,2.183301141,2.386829944
ZNF404,-0.375969376,1.159833024,-1.975933365,0.078434162,0.487676939,-4.309893819,-1.29771122,2.352268163,2.278026159,2.744520967,2.744520967,2.539041348,2.04444242,1.394251778,2.542576692,1.868367062
FBXO21,-0.669770507,4.995640344,-1.975784528,0.07845317,0.487712001,-4.3101036,-1.590819891,31.12238132,40.75521052,37.10633338,71.49308221,40.71114591,19.47987753,21.48036819,28.5552063,20.9191351
CORO1C,-0.702926778,2.802192443,-1.974773816,0.078582358,0.488071162,-4.311528014,-1.627803751,5.710930889,18.65207197,7.780491645,7.141648307,6.439960071,8.004704444,3.711892861,6.65737181,5.182384142
NRG2,0.387688826,3.719748185,1.974519109,0.078614946,0.488133158,-4.311886935,1.308295856,12.92241809,9.856061923,11.57895109,9.580440399,16.18978133,13.35918185,19.38624702,13.42068508,15.04564615
MTMR9,0.968289857,2.969372661,1.974325241,0.078639759,0.488133158,-4.312160114,1.956519998,7.34915068,6.811066912,4.684282317,2.73636763,5.899584707,15.92801322,20.00921275,8.300830515,11.0720427
IGF2 ,-0.935488154,3.089478047,-1.974218383,0.078653439,0.488133158,-4.312310683,-1.912537656,32.46548607,6.976210398,12.92407331,7.496794366,7.301734409,8.682221175,5.367863524,4.189668249,7.496794366
ELFN2,1.069499212,4.198838619,1.973670392,0.078723627,0.488133158,-4.313082788,2.098704739,9.205452278,19.31867813,18.31243335,15.6979689,33.3417006,5.109233304,21.41337023,50.90056975,25.02788385
GPM6A,0.677250102,6.314663849,1.97348595,0.078747264,0.488133158,-4.313342645,1.599088851,106.7465233,44.29476853,68.82641556,95.93752665,58.36164967,54.5879507,133.0655111,65.14835656,148.7599119
ENKD1,-1.067060834,1.674051783,-1.973475294,0.07874863,0.488133158,-4.313357658,-2.095160598,11.05840954,3.906712185,1.742398819,2.223548983,3.601337045,7.689734011,1.882194667,2.273047894,1.730261091
