Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold.Change,C_GSM764196.CEL,C_GSM764197.CEL,C_GSM764198.CEL,P_GSM764189.CEL,P_GSM764190.CEL,P_GSM764191.CEL,P_GSM764192.CEL,P_GSM764193.CEL,P_GSM764194.CEL,P_GSM764195.CEL,countP
USP32,-0.043382426,9.036193658,-0.316186921,0.757456278,0.929851498,-5.250009143,-1.030527087,549.1563953,610.8749076,459.4861709,598.4762869,624.5210645,536.3693995,556.2256241,449.9618482,490.2374844,419.6056905,10
CRYZ,0.049132996,8.080602314,0.316010512,0.757586801,0.929851498,-5.250054143,1.034642956,264.3419441,328.4894156,212.6980541,309.0830731,207.6473579,324.5915072,247.9748273,299.5995048,277.6489905,266.3190591,10
NOSIP,0.042011753,9.313198132,0.315916844,0.757656109,0.929851498,-5.250078026,1.029548471,688.3023145,523.8583538,671.5905869,573.2742198,551.5924218,722.911383,732.358293,613.6986066,572.6616311,761.6924218,10
OGFOD3,-0.036336117,8.165284726,-0.315899215,0.757669153,0.929851498,-5.250082521,-1.025506131,246.4821656,331.5074729,305.265976,264.93874,265.3213104,291.6426817,252.6115937,301.2977438,288.7981714,338.210239,10
CCP110,-0.0408154,7.228363717,-0.315846286,0.757708318,0.929851498,-5.250096013,-1.028695073,154.7884413,164.8901992,140.1946726,157.1454089,180.443176,172.0667717,138.7797895,117.7770263,150.5924218,133.7670056,10
KCNC1,0.093899311,4.010180325,0.315732519,0.757792502,0.929851498,-5.250125006,1.067250849,22.35637402,13.1596772,12.40359067,34.06374728,19.2523265,12.47118896,12.68341293,14.38489794,16.8516101,12.85830762,3
EVL,-0.060560672,7.064555039,-0.315342287,0.758081286,0.930017599,-5.250224376,-1.042870971,142.2767456,153.7354004,119.7582188,166.3069454,145.5722993,82.71552853,136.4336969,111.9889104,147.7004285,156.0134332,10
EN1,-0.037347247,7.462596823,-0.315188061,0.758195429,0.930053286,-5.250263616,-1.026225121,168.5361478,175.6915759,195.6870172,133.3914364,172.7589697,180.6450165,193.2965582,176.6338975,177.1972192,199.7557377,10
ELF4,0.041319539,4.539243928,0.315153508,0.758221002,0.93006379,-5.250272404,1.029054605,23.96805941,19.96489396,24.73575531,30.4290071,23.38983552,25.97115353,19.37387008,22.52039204,21.90551021,22.08558214,7
MKNK2,0.063703602,10.76355974,0.315124612,0.75824239,0.930069158,-5.250279754,1.045145356,1491.472048,2106.626738,1524.015048,1250.068363,1895.892422,1470.368092,2692.70172,1835.283686,1593.652151,1918.195833,10
PTPN9,0.074207039,4.437045995,0.314545685,0.758670916,0.930281795,-5.250426853,1.052782227,23.1659096,20.04619935,19.64533615,25.09277522,35.59931876,29.27652162,17.6091557,20.34455224,14.6897851,18.11283907,5
FABP5,0.054071284,9.27073194,0.314530115,0.758682442,0.930281795,-5.250430806,1.038190567,556.6065748,544.3642817,718.927951,707.3691398,533.2741681,680.1739021,636.1538205,493.1098886,525.7635368,877.0971504,10
TTC39B,0.038671322,3.062499954,0.314522637,0.758687979,0.930281795,-5.250432704,1.027167401,8.315295174,8.817892804,7.516643955,7.514417819,9.647339884,9.442186662,8.947591823,9.028443902,8.251911099,6.584577357,9
DBNDD2 ,-0.053784906,10.91049017,-0.314189691,0.758934468,0.930351321,-5.250517176,-1.037984504,1898.099495,2359.281813,1722.092422,1569.687001,1744.758754,1621.023016,2068.772267,1825.392422,1895.21221,2848.579995,10
RAB6A ,-0.029052936,9.264691222,-0.314166459,0.758951668,0.930351321,-5.250523067,-1.020342097,611.9648266,602.1762111,658.8188402,612.1788808,657.8525311,666.1459512,622.9897118,609.1444072,613.9650492,510.9312293,10
EBPL,0.060829558,7.303768373,0.314117742,0.758987737,0.930357245,-5.250535419,1.043065357,142.7157422,194.1618769,130.2776896,150.3924218,193.9457739,187.9453181,182.4138043,170.1362148,156.7612379,100.6924227,10
HIP1R,-0.025430781,6.265574708,-0.313865157,0.759174756,0.930398758,-5.25059943,-1.017783552,76.02278801,78.77664848,78.90651957,81.04358138,72.34543177,68.02180142,81.07179932,77.48046584,79.9128487,76.79776434,5
THBS4,0.163477224,9.287784127,0.313567932,0.759394848,0.930501709,-5.250674689,1.119983302,1276.492422,295.0360873,511.0544976,1827.772995,328.4378627,592.3615566,455.4144682,478.6160732,561.9402538,1085.447874,10
HES2,0.037999403,3.879703944,0.313321571,0.759577293,0.930576118,-5.250737017,1.026689121,16.07460444,12.73228587,14.74528912,13.54559473,14.97782437,17.5193056,14.08255556,15.57737185,12.16141366,16.6897267,5
PKD1L2,-0.040079098,4.455874665,-0.313301984,0.759591799,0.930576118,-5.25074197,-1.028170196,21.89385701,21.02406717,24.34183435,17.5551819,21.09497211,19.60321241,21.98430316,26.8693404,21.05350921,25.61658637,3
SMTNL1,0.07658183,11.00731503,0.313223996,0.759649556,0.930584323,-5.250761689,1.054516617,1706.807873,3277.914366,1394.445504,1461.384319,2042.979875,2173.479277,2163.997305,2102.591112,2006.84078,2954.116873,10
LOC283075,0.053556865,6.58031901,0.312991792,0.759821536,0.930725173,-5.250820373,1.037820447,74.59655861,117.324034,92.60997391,78.59204506,91.62808161,119.2607988,105.1282453,123.0301701,84.80638976,84.31521995,10
COMMD5,0.034996634,5.831428075,0.312774502,0.759982482,0.930804467,-5.250875249,1.024554433,53.23847475,67.27234205,48.99125615,58.53571911,53.78521512,52.83600269,55.17396873,60.00861556,55.04034938,67.37893129,4
HK1,0.029757076,9.930185026,0.31198735,0.760565622,0.931222938,-5.25107373,1.02084022,864.8387986,1061.085608,969.0668881,896.9302736,890.1516205,1113.352304,973.1940298,1005.692422,1004.092422,1005.779139,10
C9orf85,-0.038963143,7.087489117,-0.311968437,0.760579635,0.931222938,-5.251078493,-1.027375192,142.4543884,145.3200728,128.6086183,135.9678974,143.1149875,115.6760844,125.637757,129.2858955,179.8010003,123.6995631,10
GNAQ,-0.050087806,7.266272084,-0.311842317,0.760673083,0.931230771,-5.251110246,-1.035327935,155.8329856,167.9920479,149.9039592,178.9442566,108.0287951,199.9283992,143.443974,133.1651219,163.3264337,157.9924218,10
OIP5,-0.126313212,7.060031384,-0.311824496,0.760686287,0.931230771,-5.251114732,-1.091500819,121.8412589,253.3924218,92.49242992,173.5721422,255.6419766,99.49105793,110.0189232,132.4995174,166.112393,58.63244707,10
FLOT2,0.046154072,5.359323146,0.310991704,0.76130344,0.931500907,-5.251324081,1.032508796,37.97793465,41.07739806,41.46101261,62.40869045,38.55327829,39.02265311,39.51513118,36.20318908,40.88661522,38.25440649,5
